Area,School_Type,Total_School,Total_People,Male,Femal,Year
"Flensburg, kreisfreie Stadt",Grundschulen,16.0,2722.0,1322.0,156.0,2012
"Kiel, Landeshauptstadt, kreisfreie Stadt",Grundschulen,34.0,7168.0,3408.0,445.0,2012
"Lübeck, Hansestadt, kreisfreie Stadt",Grundschulen,36.0,6784.0,3348.0,274.0,2012
"Neumünster, kreisfreie Stadt",Grundschulen,12.0,2711.0,1300.0,260.0,2012
"Dithmarschen, Landkreis",Grundschulen,28.0,4871.0,2413.0,117.0,2012
"Herzogtum Lauenburg, Landkreis",Grundschulen,28.0,7222.0,3466.0,204.0,2012
"Nordfriesland, Landkreis",Grundschulen,52.0,6238.0,3005.0,179.0,2012
"Ostholstein, Landkreis",Grundschulen,28.0,6619.0,3186.0,89.0,2012
"Pinneberg, Landkreis",Grundschulen,57.0,11264.0,5416.0,441.0,2012
"Plön, Landkreis",Grundschulen,23.0,4502.0,2199.0,75.0,2012
"Rendsburg-Eckernförde, Landkreis",Grundschulen,58.0,10091.0,4866.0,235.0,2012
"Schleswig-Flensburg, Landkreis",Grundschulen,63.0,7602.0,3708.0,187.0,2012
"Segeberg, Landkreis",Grundschulen,47.0,9831.0,4743.0,235.0,2012
"Steinburg, Landkreis",Grundschulen,27.0,4717.0,2329.0,74.0,2012
"Stormarn, Landkreis",Grundschulen,35.0,8743.0,4192.0,172.0,2012
Hamburg,Grundschulen,221.0,52664.0,25885.0,4345.0,2012
"Braunschweig, kreisfreie Stadt",Grundschulen,43.0,7871.0,3886.0,735.0,2012
"Salzgitter, kreisfreie Stadt",Grundschulen,18.0,3579.0,1696.0,561.0,2012
"Wolfsburg, kreisfreie Stadt",Grundschulen,23.0,4249.0,2066.0,519.0,2012
"Gifhorn, Landkreis",Grundschulen,42.0,6785.0,3314.0,234.0,2012
"Göttingen, Landkreis",Grundschulen,62.0,8217.0,4097.0,463.0,2012
"Goslar, Landkreis",Grundschulen,34.0,4003.0,1959.0,239.0,2012
"Helmstedt, Landkreis",Grundschulen,18.0,2815.0,1342.0,110.0,2012
"Northeim, Landkreis",Grundschulen,30.0,4461.0,2129.0,216.0,2012
"Osterode am Harz, Landkreis",Grundschulen,20.0,2331.0,1125.0,73.0,2012
"Peine, Landkreis",Grundschulen,29.0,5097.0,2493.0,208.0,2012
"Wolfenbüttel, Landkreis",Grundschulen,26.0,4261.0,2049.0,121.0,2012
"Region Hannover, Landkreis",Grundschulen,184.0,38431.0,18922.0,3815.0,2012
"Hannover, Landeshauptstadt",Grundschulen,62.0,16666.0,8117.0,1997.0,2012
"Diepholz, Landkreis",Grundschulen,45.0,7880.0,3821.0,321.0,2012
"Hameln-Pyrmont, Landkreis",Grundschulen,40.0,5232.0,2616.0,305.0,2012
"Hildesheim, Landkreis",Grundschulen,58.0,9718.0,4741.0,622.0,2012
"Holzminden, Landkreis",Grundschulen,20.0,2396.0,1159.0,138.0,2012
"Nienburg (Weser), Landkreis",Grundschulen,34.0,4642.0,2310.0,304.0,2012
"Schaumburg, Landkreis",Grundschulen,26.0,5687.0,2753.0,495.0,2012
"Celle, Landkreis",Grundschulen,38.0,6912.0,3451.0,233.0,2012
"Cuxhaven, Landkreis",Grundschulen,49.0,7318.0,3524.0,451.0,2012
"Harburg, Landkreis",Grundschulen,46.0,9583.0,4619.0,468.0,2012
"Lüchow-Dannenberg, Landkreis",Grundschulen,19.0,1770.0,844.0,35.0,2012
"Lüneburg, Landkreis",Grundschulen,37.0,6901.0,3397.0,261.0,2012
"Osterholz, Landkreis",Grundschulen,32.0,4345.0,2084.0,182.0,2012
"Rotenburg (Wümme), Landkreis",Grundschulen,42.0,6668.0,3195.0,324.0,2012
"Heidekreis, Landkreis",Grundschulen,30.0,5253.0,2537.0,342.0,2012
"Stade, Landkreis",Grundschulen,44.0,7754.0,3887.0,252.0,2012
"Uelzen, Landkreis",Grundschulen,23.0,3339.0,1613.0,126.0,2012
"Verden, Landkreis",Grundschulen,29.0,5177.0,2553.0,293.0,2012
"Delmenhorst, kreisfreie Stadt",Grundschulen,14.0,2768.0,1266.0,238.0,2012
"Emden, kreisfreie Stadt",Grundschulen,11.0,1828.0,917.0,104.0,2012
"Oldenburg (Oldenburg), kreisfreie Stadt",Grundschulen,29.0,5476.0,2681.0,464.0,2012
"Osnabrück, kreisfreie Stadt",Grundschulen,28.0,5098.0,2544.0,554.0,2012
"Wilhelmshaven, kreisfreie Stadt",Grundschulen,13.0,2276.0,1150.0,204.0,2012
"Ammerland, Landkreis",Grundschulen,28.0,4806.0,2357.0,214.0,2012
"Aurich, Landkreis",Grundschulen,52.0,7396.0,3565.0,314.0,2012
"Cloppenburg, Landkreis",Grundschulen,49.0,7591.0,3715.0,300.0,2012
"Emsland, Landkreis",Grundschulen,110.0,13128.0,6504.0,614.0,2012
"Friesland, Landkreis",Grundschulen,30.0,3457.0,1687.0,92.0,2012
"Grafschaft Bentheim, Landkreis",Grundschulen,33.0,5557.0,2740.0,494.0,2012
"Leer, Landkreis",Grundschulen,50.0,6332.0,3140.0,393.0,2012
"Oldenburg, Landkreis",Grundschulen,30.0,5239.0,2490.0,244.0,2012
"Osnabrück, Landkreis",Grundschulen,86.0,14667.0,7257.0,623.0,2012
"Vechta, Landkreis",Grundschulen,34.0,6033.0,2962.0,448.0,2012
"Wesermarsch, Landkreis",Grundschulen,29.0,3362.0,1689.0,119.0,2012
"Wittmund, Landkreis",Grundschulen,14.0,2157.0,1084.0,97.0,2012
"Bremen, kreisfreie Stadt",Grundschulen,81.0,16958.0,8163.0,1581.0,2012
"Bremerhaven, kreisfreie Stadt",Grundschulen,19.0,3868.0,1889.0,300.0,2012
"Düsseldorf, kreisfreie Stadt",Grundschulen,88.0,19167.0,9404.0,2094.0,2012
"Duisburg, kreisfreie Stadt",Grundschulen,82.0,17013.0,8321.0,3850.0,2012
"Essen, kreisfreie Stadt",Grundschulen,87.0,18575.0,9131.0,2619.0,2012
"Krefeld, kreisfreie Stadt",Grundschulen,31.0,8089.0,3961.0,651.0,2012
"Mönchengladbach, kreisfreie Stadt",Grundschulen,39.0,9079.0,4499.0,782.0,2012
"Mülheim an der Ruhr, kreisfreie Stadt",Grundschulen,24.0,5481.0,2698.0,793.0,2012
"Oberhausen, kreisfreie Stadt",Grundschulen,38.0,7032.0,3520.0,1149.0,2012
"Remscheid, kreisfreie Stadt",Grundschulen,18.0,3992.0,1967.0,280.0,2012
"Solingen, kreisfreie Stadt",Grundschulen,22.0,5605.0,2724.0,483.0,2012
"Wuppertal, kreisfreie Stadt",Grundschulen,58.0,12092.0,5990.0,1435.0,2012
"Kleve, Kreis",Grundschulen,55.0,11472.0,5652.0,799.0,2012
"Mettmann, Kreis",Grundschulen,82.0,17386.0,8640.0,980.0,2012
Rhein-Kreis Neuss,Grundschulen,76.0,16580.0,8063.0,856.0,2012
"Viersen, Kreis",Grundschulen,49.0,10687.0,5264.0,470.0,2012
"Wesel, Kreis",Grundschulen,79.0,16208.0,7895.0,804.0,2012
"Bonn, kreisfreie Stadt",Grundschulen,51.0,11569.0,5577.0,1070.0,2012
"Köln, kreisfreie Stadt",Grundschulen,145.0,34482.0,17008.0,4256.0,2012
"Leverkusen, kreisfreie Stadt",Grundschulen,26.0,6026.0,2926.0,423.0,2012
Städteregion Aachen (einschl. Stadt Aachen),Grundschulen,98.0,18793.0,9349.0,1563.0,2012
"Aachen, krfr. Stadt",Grundschulen,40.0,7532.0,3762.0,1064.0,2012
"Düren, Kreis",Grundschulen,52.0,9424.0,4584.0,621.0,2012
Rhein-Erft-Kreis,Grundschulen,75.0,16844.0,8258.0,1017.0,2012
"Euskirchen, Kreis",Grundschulen,37.0,6970.0,3429.0,182.0,2012
"Heinsberg, Kreis",Grundschulen,54.0,9412.0,4639.0,479.0,2012
Oberbergischer Kreis,Grundschulen,59.0,10735.0,5342.0,451.0,2012
Rheinisch-Bergischer Kreis,Grundschulen,52.0,10598.0,5142.0,463.0,2012
Rhein-Sieg-Kreis,Grundschulen,104.0,23051.0,11203.0,1154.0,2012
"Bottrop, kreisfreie Stadt",Grundschulen,21.0,3989.0,1943.0,240.0,2012
"Gelsenkirchen, kreisfreie Stadt",Grundschulen,39.0,8990.0,4392.0,859.0,2012
"Münster, kreisfreie Stadt",Grundschulen,47.0,9401.0,4585.0,678.0,2012
"Borken, Kreis",Grundschulen,66.0,15461.0,7655.0,561.0,2012
"Coesfeld, Kreis",Grundschulen,39.0,8403.0,4171.0,181.0,2012
"Recklinghausen, Kreis",Grundschulen,95.0,21362.0,10408.0,1324.0,2012
"Steinfurt, Kreis",Grundschulen,87.0,17961.0,8856.0,665.0,2012
"Warendorf, Kreis",Grundschulen,53.0,11408.0,5599.0,349.0,2012
"Bielefeld, kreisfreie Stadt",Grundschulen,50.0,12238.0,6015.0,1394.0,2012
"Gütersloh, Kreis",Grundschulen,64.0,14712.0,7179.0,859.0,2012
"Herford, Kreis",Grundschulen,45.0,9362.0,4718.0,334.0,2012
"Höxter, Kreis",Grundschulen,26.0,5509.0,2706.0,165.0,2012
"Lippe, Kreis",Grundschulen,61.0,13509.0,6581.0,441.0,2012
"Minden-Lübbecke, Kreis",Grundschulen,59.0,12529.0,6067.0,496.0,2012
"Paderborn, Kreis",Grundschulen,57.0,11954.0,5878.0,365.0,2012
"Bochum, kreisfreie Stadt",Grundschulen,53.0,11251.0,5564.0,1190.0,2012
"Dortmund, kreisfreie Stadt",Grundschulen,90.0,19755.0,9685.0,2267.0,2012
"Hagen, kreisfreie Stadt",Grundschulen,33.0,6721.0,3244.0,949.0,2012
"Hamm, kreisfreie Stadt",Grundschulen,28.0,6727.0,3386.0,568.0,2012
"Herne, kreisfreie Stadt",Grundschulen,26.0,5117.0,2529.0,558.0,2012
Ennepe-Ruhr-Kreis,Grundschulen,62.0,10479.0,5117.0,1140.0,2012
Hochsauerlandkreis,Grundschulen,63.0,10199.0,5081.0,423.0,2012
Märkischer Kreis,Grundschulen,70.0,15582.0,7672.0,949.0,2012
"Olpe, Kreis",Grundschulen,31.0,5420.0,2657.0,269.0,2012
"Siegen-Wittgenstein, Kreis",Grundschulen,62.0,9727.0,4768.0,597.0,2012
"Soest, Kreis",Grundschulen,56.0,11516.0,5774.0,446.0,2012
"Unna, Kreis",Grundschulen,65.0,14145.0,7001.0,673.0,2012
"Darmstadt, kreisfreie Stadt",Grundschulen,20.0,4521.0,2215.0,385.0,2012
"Frankfurt am Main, kreisfreie Stadt",Grundschulen,85.0,22345.0,11022.0,3438.0,2012
"Offenbach am Main, kreisfreie Stadt",Grundschulen,16.0,4587.0,2252.0,970.0,2012
"Wiesbaden, Landeshauptstadt, kreisfreie Stadt",Grundschulen,39.0,9682.0,4739.0,924.0,2012
"Bergstraße, Landkreis",Grundschulen,49.0,8803.0,4256.0,542.0,2012
"Darmstadt-Dieburg, Landkreis",Grundschulen,54.0,9956.0,4920.0,630.0,2012
"Groß-Gerau, Landkreis",Grundschulen,39.0,9175.0,4550.0,1042.0,2012
Hochtaunuskreis,Grundschulen,43.0,8507.0,4155.0,603.0,2012
Main-Kinzig-Kreis,Grundschulen,91.0,13829.0,6845.0,897.0,2012
Main-Taunus-Kreis,Grundschulen,38.0,8576.0,4155.0,598.0,2012
Odenwaldkreis,Grundschulen,25.0,3168.0,1564.0,150.0,2012
"Offenbach, Landkreis",Grundschulen,50.0,12164.0,5924.0,1054.0,2012
Rheingau-Taunus-Kreis,Grundschulen,32.0,5974.0,2907.0,301.0,2012
Wetteraukreis,Grundschulen,60.0,10287.0,5063.0,436.0,2012
"Gießen, Landkreis",Grundschulen,54.0,7971.0,3913.0,318.0,2012
Lahn-Dill-Kreis,Grundschulen,68.0,8720.0,4191.0,348.0,2012
"Limburg-Weilburg, Landkreis",Grundschulen,36.0,5856.0,2823.0,399.0,2012
"Marburg-Biedenkopf, Landkreis",Grundschulen,66.0,7936.0,3880.0,277.0,2012
Vogelsbergkreis,Grundschulen,22.0,3328.0,1634.0,75.0,2012
"Kassel, kreisfreie Stadt",Grundschulen,29.0,5956.0,2939.0,595.0,2012
"Fulda, Landkreis",Grundschulen,65.0,8034.0,3971.0,256.0,2012
"Hersfeld-Rotenburg, Landkreis",Grundschulen,29.0,4057.0,2005.0,124.0,2012
"Kassel, Landkreis",Grundschulen,51.0,7547.0,3773.0,183.0,2012
Schwalm-Eder-Kreis,Grundschulen,46.0,6031.0,2931.0,152.0,2012
"Waldeck-Frankenberg, Landkreis",Grundschulen,46.0,5478.0,2721.0,126.0,2012
Werra-Meißner-Kreis,Grundschulen,22.0,3155.0,1566.0,60.0,2012
"Koblenz, kreisfreie Stadt",Grundschulen,25.0,3297.0,1569.0,273.0,2012
"Ahrweiler, Landkreis",Grundschulen,29.0,3896.0,1946.0,217.0,2012
"Altenkirchen (Westerwald), Landkreis",Grundschulen,28.0,4562.0,2225.0,150.0,2012
"Bad Kreuznach, Landkreis",Grundschulen,35.0,5317.0,2592.0,246.0,2012
"Birkenfeld, Landkreis",Grundschulen,19.0,2546.0,1210.0,62.0,2012
"Cochem-Zell, Landkreis",Grundschulen,26.0,2130.0,1040.0,71.0,2012
"Mayen-Koblenz, Landkreis",Grundschulen,63.0,7044.0,3464.0,188.0,2012
"Neuwied, Landkreis",Grundschulen,41.0,6420.0,3117.0,434.0,2012
Rhein-Hunsrück-Kreis,Grundschulen,22.0,3640.0,1775.0,88.0,2012
Rhein-Lahn-Kreis,Grundschulen,25.0,4020.0,1939.0,124.0,2012
Westerwaldkreis,Grundschulen,55.0,7334.0,3539.0,240.0,2012
"Trier, kreisfreie Stadt",Grundschulen,24.0,3111.0,1486.0,153.0,2012
"Bernkastel-Wittlich, Landkreis",Grundschulen,43.0,3797.0,1841.0,127.0,2012
Eifelkreis Bitburg-Prüm,Grundschulen,32.0,3395.0,1613.0,176.0,2012
"Vulkaneifel, Landkreis",Grundschulen,17.0,2094.0,1049.0,75.0,2012
"Trier-Saarburg, Landkreis",Grundschulen,48.0,4857.0,2373.0,204.0,2012
"Frankenthal (Pfalz), kreisfreie Stadt",Grundschulen,10.0,1494.0,739.0,104.0,2012
"Kaiserslautern, kreisfreie Stadt",Grundschulen,20.0,2939.0,1402.0,178.0,2012
"Landau in der Pfalz, kreisfreie Stadt",Grundschulen,11.0,1641.0,827.0,55.0,2012
"Ludwigshafen am Rhein, kreisfreie Stadt",Grundschulen,24.0,5830.0,2722.0,1134.0,2012
"Mainz, kreisfreie Stadt",Grundschulen,27.0,6240.0,2921.0,706.0,2012
"Neustadt an der Weinstraße, kreisfreie Stadt",Grundschulen,12.0,1726.0,825.0,67.0,2012
"Pirmasens, kreisfreie Stadt",Grundschulen,10.0,1199.0,582.0,37.0,2012
"Speyer, kreisfreie Stadt",Grundschulen,6.0,1738.0,851.0,102.0,2012
"Worms, kreisfreie Stadt",Grundschulen,14.0,2870.0,1423.0,219.0,2012
"Zweibrücken, kreisfreie Stadt",Grundschulen,8.0,1098.0,534.0,38.0,2012
"Alzey-Worms, Landkreis",Grundschulen,30.0,4659.0,2245.0,175.0,2012
"Bad Dürkheim, Landkreis",Grundschulen,36.0,4304.0,2080.0,112.0,2012
Donnersbergkreis,Grundschulen,20.0,2792.0,1349.0,115.0,2012
"Germersheim, Landkreis",Grundschulen,31.0,4466.0,2103.0,185.0,2012
"Kaiserslautern, Landkreis",Grundschulen,29.0,3652.0,1789.0,216.0,2012
"Kusel, Landkreis",Grundschulen,20.0,2369.0,1159.0,97.0,2012
"Südliche Weinstraße, Landkreis",Grundschulen,26.0,3429.0,1627.0,94.0,2012
Rhein-Pfalz-Kreis,Grundschulen,30.0,4958.0,2471.0,280.0,2012
"Mainz-Bingen, Landkreis",Grundschulen,44.0,7582.0,3705.0,292.0,2012
"Südwestpfalz, Landkreis",Grundschulen,29.0,2946.0,1355.0,46.0,2012
"Stuttgart, Landeshauptstadt, Stadtkreis",Grundschulen,81.0,17800.0,8666.0,4012.0,2012
"Böblingen, Landkreis",Grundschulen,71.0,13641.0,6639.0,1021.0,2012
"Esslingen, Landkreis",Grundschulen,106.0,18312.0,8900.0,1867.0,2012
"Göppingen, Landkreis",Grundschulen,68.0,8648.0,4286.0,761.0,2012
"Ludwigsburg, Landkreis",Grundschulen,91.0,19173.0,9403.0,1752.0,2012
"Rems-Murr-Kreis, Landkreis",Grundschulen,91.0,15041.0,7371.0,1696.0,2012
"Heilbronn, Universitätsstadt, Stadtkreis",Grundschulen,21.0,4366.0,2129.0,671.0,2012
"Heilbronn, Landkreis",Grundschulen,95.0,12155.0,6070.0,650.0,2012
"Hohenlohekreis, Landkreis",Grundschulen,32.0,4010.0,1983.0,132.0,2012
"Schwäbisch Hall, Landkreis",Grundschulen,49.0,6907.0,3411.0,310.0,2012
"Main-Tauber-Kreis, Landkreis",Grundschulen,41.0,4547.0,2258.0,218.0,2012
"Heidenheim, Landkreis",Grundschulen,35.0,4434.0,2194.0,274.0,2012
"Ostalbkreis, Landkreis",Grundschulen,93.0,11200.0,5637.0,499.0,2012
"Baden-Baden, Stadtkreis",Grundschulen,13.0,1638.0,822.0,277.0,2012
"Karlsruhe, Stadtkreis",Grundschulen,47.0,8531.0,4213.0,1001.0,2012
"Karlsruhe, Landkreis",Grundschulen,103.0,14747.0,7071.0,745.0,2012
"Rastatt, Landkreis",Grundschulen,60.0,7652.0,3723.0,456.0,2012
"Heidelberg, Stadtkreis",Grundschulen,22.0,4046.0,2014.0,461.0,2012
"Mannheim, Stadtkreis",Grundschulen,34.0,8940.0,4434.0,1685.0,2012
"Neckar-Odenwald-Kreis, Landkreis",Grundschulen,47.0,5037.0,2443.0,288.0,2012
"Rhein-Neckar-Kreis, Landkreis",Grundschulen,111.0,18265.0,8903.0,1282.0,2012
"Pforzheim, Stadtkreis",Grundschulen,18.0,4137.0,2070.0,754.0,2012
"Calw, Landkreis",Grundschulen,43.0,5570.0,2729.0,353.0,2012
"Enzkreis, Landkreis",Grundschulen,55.0,6972.0,3409.0,333.0,2012
"Freudenstadt, Landkreis",Grundschulen,33.0,4267.0,2061.0,219.0,2012
"Freiburg im Breisgau, Stadtkreis",Grundschulen,40.0,6859.0,3395.0,730.0,2012
"Breisgau-Hochschwarzwald, Landkreis",Grundschulen,69.0,8802.0,4320.0,486.0,2012
"Emmendingen, Landkreis",Grundschulen,42.0,5697.0,2755.0,307.0,2012
"Ortenaukreis, Landkreis",Grundschulen,117.0,14879.0,7381.0,960.0,2012
"Rottweil, Landkreis",Grundschulen,53.0,5062.0,2521.0,308.0,2012
"Schwarzwald-Baar-Kreis, Landkreis",Grundschulen,55.0,7224.0,3599.0,486.0,2012
"Tuttlingen, Landkreis",Grundschulen,37.0,5229.0,2543.0,377.0,2012
"Konstanz, Landkreis",Grundschulen,62.0,9365.0,4646.0,836.0,2012
"Lörrach, Landkreis",Grundschulen,57.0,7929.0,3857.0,673.0,2012
"Waldshut, Landkreis",Grundschulen,51.0,6240.0,3008.0,593.0,2012
"Reutlingen, Landkreis",Grundschulen,65.0,10027.0,4924.0,882.0,2012
"Tübingen, Landkreis",Grundschulen,52.0,7600.0,3679.0,604.0,2012
"Zollernalbkreis, Landkreis",Grundschulen,52.0,6401.0,3115.0,330.0,2012
"Ulm, Stadtkreis",Grundschulen,27.0,3840.0,1895.0,548.0,2012
"Alb-Donau-Kreis, Landkreis",Grundschulen,65.0,7521.0,3630.0,447.0,2012
"Biberach, Landkreis",Grundschulen,62.0,7440.0,3634.0,236.0,2012
"Bodenseekreis, Landkreis",Grundschulen,46.0,6956.0,3355.0,285.0,2012
"Ravensburg, Landkreis",Grundschulen,76.0,10106.0,4981.0,419.0,2012
"Sigmaringen, Landkreis",Grundschulen,38.0,4784.0,2333.0,157.0,2012
Ingolstadt,Grundschulen,18.0,4428.0,2206.0,346.0,2012
"München, Landeshauptstadt",Grundschulen,153.0,40451.0,20113.0,7274.0,2012
Rosenheim,Grundschulen,8.0,1997.0,956.0,189.0,2012
"Altötting, Landkreis",Grundschulen,25.0,3908.0,1944.0,159.0,2012
"Berchtesgadener Land, Landkreis",Grundschulen,20.0,3211.0,1559.0,183.0,2012
"Bad Tölz-Wolfratshausen, Landkreis",Grundschulen,24.0,4418.0,2167.0,205.0,2012
"Dachau, Landkreis",Grundschulen,23.0,5616.0,2807.0,722.0,2012
"Ebersberg, Landkreis",Grundschulen,22.0,5141.0,2517.0,247.0,2012
"Eichstätt, Landkreis",Grundschulen,33.0,4820.0,2332.0,131.0,2012
"Erding, Landkreis",Grundschulen,32.0,5138.0,2507.0,242.0,2012
"Freising, Landkreis",Grundschulen,30.0,6064.0,2952.0,451.0,2012
"Fürstenfeldbruck, Landkreis",Grundschulen,33.0,7449.0,3705.0,555.0,2012
"Garmisch-Partenkirchen, Landkreis",Grundschulen,20.0,2628.0,1316.0,137.0,2012
"Landsberg am Lech, Landkreis",Grundschulen,24.0,4340.0,2130.0,137.0,2012
"Miesbach, Landkreis",Grundschulen,21.0,3324.0,1648.0,148.0,2012
"Mühldorf a.Inn, Landkreis",Grundschulen,24.0,3919.0,1885.0,164.0,2012
"München, Landkreis",Grundschulen,51.0,13130.0,6445.0,1116.0,2012
"Neuburg-Schrobenhausen, Landkreis",Grundschulen,18.0,3316.0,1603.0,120.0,2012
"Pfaffenhofen a.d.Ilm, Landkreis",Grundschulen,22.0,4391.0,2209.0,134.0,2012
"Rosenheim, Landkreis",Grundschulen,53.0,8940.0,4402.0,296.0,2012
"Starnberg, Landkreis",Grundschulen,24.0,5507.0,2704.0,564.0,2012
"Traunstein, Landkreis",Grundschulen,40.0,5757.0,2882.0,175.0,2012
"Weilheim-Schongau, Landkreis",Grundschulen,32.0,4792.0,2343.0,204.0,2012
Landshut,Grundschulen,8.0,2035.0,1041.0,169.0,2012
Passau,Grundschulen,9.0,1398.0,705.0,88.0,2012
Straubing,Grundschulen,6.0,1291.0,634.0,96.0,2012
"Deggendorf, Landkreis",Grundschulen,26.0,4021.0,1995.0,134.0,2012
"Freyung-Grafenau, Landkreis",Grundschulen,23.0,2595.0,1240.0,40.0,2012
"Kelheim, Landkreis",Grundschulen,25.0,4161.0,2096.0,273.0,2012
"Landshut, Landkreis",Grundschulen,33.0,5558.0,2747.0,162.0,2012
"Passau, Landkreis",Grundschulen,48.0,6321.0,3094.0,109.0,2012
"Regen, Landkreis",Grundschulen,23.0,2496.0,1257.0,40.0,2012
"Rottal-Inn, Landkreis",Grundschulen,31.0,4043.0,1985.0,161.0,2012
"Straubing-Bogen, Landkreis",Grundschulen,29.0,3504.0,1688.0,54.0,2012
"Dingolfing-Landau, Landkreis",Grundschulen,15.0,3221.0,1609.0,115.0,2012
Amberg,Grundschulen,6.0,1320.0,671.0,61.0,2012
Regensburg,Grundschulen,18.0,4070.0,2032.0,443.0,2012
Weiden i.d.OPf.,Grundschulen,8.0,1323.0,682.0,75.0,2012
"Amberg-Sulzbach, Landkreis",Grundschulen,23.0,3378.0,1643.0,50.0,2012
"Cham, Landkreis",Grundschulen,37.0,4256.0,2074.0,72.0,2012
"Neumarkt i.d.OPf., Landkreis",Grundschulen,30.0,4462.0,2235.0,137.0,2012
"Neustadt a.d.Waldnaab, Landkreis",Grundschulen,28.0,3165.0,1577.0,52.0,2012
"Regensburg, Landkreis",Grundschulen,41.0,6638.0,3227.0,195.0,2012
"Schwandorf, Landkreis",Grundschulen,36.0,4776.0,2339.0,138.0,2012
"Tirschenreuth, Landkreis",Grundschulen,19.0,2322.0,1122.0,26.0,2012
Bamberg,Grundschulen,13.0,1947.0,979.0,93.0,2012
Bayreuth,Grundschulen,11.0,2010.0,975.0,134.0,2012
Coburg,Grundschulen,8.0,1143.0,560.0,34.0,2012
Hof,Grundschulen,9.0,1440.0,723.0,144.0,2012
"Bamberg, Landkreis",Grundschulen,30.0,5085.0,2551.0,70.0,2012
"Bayreuth, Landkreis",Grundschulen,24.0,3537.0,1791.0,49.0,2012
"Coburg, Landkreis",Grundschulen,18.0,2658.0,1311.0,47.0,2012
"Forchheim, Landkreis",Grundschulen,30.0,4023.0,2061.0,128.0,2012
"Hof, Landkreis",Grundschulen,21.0,2934.0,1442.0,54.0,2012
"Kronach, Landkreis",Grundschulen,19.0,2103.0,1074.0,39.0,2012
"Kulmbach, Landkreis",Grundschulen,19.0,2194.0,1065.0,25.0,2012
"Lichtenfels, Landkreis",Grundschulen,15.0,2080.0,1050.0,33.0,2012
"Wunsiedel i.Fichtelgebirge, Landkreis",Grundschulen,17.0,2151.0,1077.0,97.0,2012
Ansbach,Grundschulen,9.0,1296.0,637.0,50.0,2012
Erlangen,Grundschulen,17.0,3617.0,1767.0,363.0,2012
Fürth,Grundschulen,16.0,3654.0,1808.0,515.0,2012
Nürnberg,Grundschulen,57.0,15212.0,7654.0,2011.0,2012
Schwabach,Grundschulen,4.0,1212.0,614.0,77.0,2012
"Ansbach, Landkreis",Grundschulen,48.0,6266.0,3058.0,264.0,2012
"Erlangen-Höchstadt, Landkreis",Grundschulen,26.0,4442.0,2173.0,181.0,2012
"Fürth, Landkreis",Grundschulen,13.0,3441.0,1723.0,118.0,2012
"Nürnberger Land, Landkreis",Grundschulen,29.0,5475.0,2599.0,260.0,2012
"Neustadt a.d.Aisch-Bad Windsheim, Landkreis",Grundschulen,21.0,3277.0,1618.0,67.0,2012
"Roth, Landkreis",Grundschulen,24.0,4080.0,2010.0,104.0,2012
"Weißenburg-Gunzenhausen, Landkreis",Grundschulen,17.0,3208.0,1569.0,98.0,2012
Aschaffenburg,Grundschulen,13.0,2162.0,1076.0,260.0,2012
Schweinfurt,Grundschulen,9.0,1728.0,871.0,168.0,2012
Würzburg,Grundschulen,17.0,3122.0,1531.0,259.0,2012
"Aschaffenburg, Landkreis",Grundschulen,35.0,5800.0,2885.0,182.0,2012
"Bad Kissingen, Landkreis",Grundschulen,22.0,3267.0,1622.0,72.0,2012
"Rhön-Grabfeld, Landkreis",Grundschulen,23.0,2732.0,1405.0,34.0,2012
"Haßberge, Landkreis",Grundschulen,15.0,2798.0,1318.0,42.0,2012
"Kitzingen, Landkreis",Grundschulen,18.0,2980.0,1524.0,96.0,2012
"Miltenberg, Landkreis",Grundschulen,26.0,4434.0,2164.0,169.0,2012
"Main-Spessart, Landkreis",Grundschulen,34.0,4096.0,2068.0,124.0,2012
"Schweinfurt, Landkreis",Grundschulen,22.0,3580.0,1744.0,55.0,2012
"Würzburg, Landkreis",Grundschulen,31.0,5172.0,2542.0,100.0,2012
Augsburg,Grundschulen,33.0,8392.0,4184.0,752.0,2012
Kaufbeuren,Grundschulen,7.0,1357.0,672.0,101.0,2012
Kempten (Allgäu),Grundschulen,11.0,2195.0,1106.0,142.0,2012
Memmingen,Grundschulen,6.0,1432.0,738.0,104.0,2012
"Aichach-Friedberg, Landkreis",Grundschulen,25.0,4499.0,2236.0,91.0,2012
"Augsburg, Landkreis",Grundschulen,48.0,8681.0,4242.0,252.0,2012
"Dillingen a.d.Donau, Landkreis",Grundschulen,15.0,3494.0,1701.0,128.0,2012
"Günzburg, Landkreis",Grundschulen,27.0,4310.0,2108.0,186.0,2012
"Neu-Ulm, Landkreis",Grundschulen,38.0,6141.0,3003.0,378.0,2012
"Lindau (Bodensee), Landkreis",Grundschulen,22.0,2771.0,1398.0,163.0,2012
"Ostallgäu, Landkreis",Grundschulen,31.0,4943.0,2432.0,119.0,2012
"Unterallgäu, Landkreis",Grundschulen,29.0,4975.0,2432.0,144.0,2012
"Donau-Ries, Landkreis",Grundschulen,35.0,4760.0,2323.0,202.0,2012
"Oberallgäu, Landkreis",Grundschulen,32.0,5070.0,2526.0,155.0,2012
"Saarbrücken, Regionalverband",Grundschulen,52.0,9848.0,4771.0,1210.0,2012
"Saarbrücken, Landeshauptstadt",Grundschulen,29.0,5376.0,2617.0,732.0,2012
