City,Total,Man,Woman,Year
Deutschland,858768.0,409022.0,449746.0,2010
  Rheinland-Pfalz,43465.0,20825.0,22640.0,2010
"    Koblenz, Stat. Region",17058.0,8105.0,8953.0,2010
"      Koblenz, kreisfreie Stadt",1273.0,559.0,714.0,2010
"      Ahrweiler, Landkreis",1559.0,775.0,784.0,2010
"      Altenkirchen (Westerwald), Landkreis",1543.0,700.0,843.0,2010
"      Bad Kreuznach, Landkreis",1750.0,833.0,917.0,2010
"      Birkenfeld, Landkreis",1077.0,516.0,561.0,2010
"      Cochem-Zell, Landkreis",803.0,401.0,402.0,2010
"      Mayen-Koblenz, Landkreis",2300.0,1137.0,1163.0,2010
"      Neuwied, Landkreis",1967.0,912.0,1055.0,2010
      Rhein-Hunsrück-Kreis,1156.0,562.0,594.0,2010
      Rhein-Lahn-Kreis,1444.0,678.0,766.0,2010
      Westerwaldkreis,2186.0,1032.0,1154.0,2010
"    Trier, Stat. Region",5568.0,2647.0,2921.0,2010
"      Trier, kreisfreie Stadt",1117.0,486.0,631.0,2010
"      Bernkastel-Wittlich, Landkreis",1189.0,612.0,577.0,2010
      Eifelkreis Bitburg-Prüm,1121.0,544.0,577.0,2010
"      Vulkaneifel, Landkreis",747.0,343.0,404.0,2010
"      Trier-Saarburg, Landkreis",1394.0,662.0,732.0,2010
"    Rheinhessen-Pfalz, Stat. Region",20839.0,10073.0,10766.0,2010
"      Frankenthal (Pfalz), kreisfreie Stadt",516.0,239.0,277.0,2010
"      Kaiserslautern, kreisfreie Stadt",1137.0,548.0,589.0,2010
"      Landau in der Pfalz, kreisfreie Stadt",453.0,210.0,243.0,2010
"      Ludwigshafen am Rhein, kreisfreie Stadt",1603.0,842.0,761.0,2010
"      Mainz, kreisfreie Stadt",1752.0,839.0,913.0,2010
"      Neustadt an der Weinstraße, kreisfreie Stadt",571.0,255.0,316.0,2010
"      Pirmasens, kreisfreie Stadt",623.0,296.0,327.0,2010
"      Speyer, kreisfreie Stadt",585.0,260.0,325.0,2010
"      Worms, kreisfreie Stadt",891.0,419.0,472.0,2010
"      Zweibrücken, kreisfreie Stadt",413.0,190.0,223.0,2010
"      Alzey-Worms, Landkreis",1180.0,561.0,619.0,2010
"      Bad Dürkheim, Landkreis",1522.0,749.0,773.0,2010
      Donnersbergkreis,792.0,381.0,411.0,2010
"      Germersheim, Landkreis",1136.0,546.0,590.0,2010
"      Kaiserslautern, Landkreis",1192.0,627.0,565.0,2010
"      Kusel, Landkreis",928.0,452.0,476.0,2010
"      Südliche Weinstraße, Landkreis",1123.0,536.0,587.0,2010
      Rhein-Pfalz-Kreis,1458.0,699.0,759.0,2010
"      Mainz-Bingen, Landkreis",1871.0,881.0,990.0,2010
"      Südwestpfalz, Landkreis",1093.0,543.0,550.0,2010
Deutschland,852328.0,407628.0,444700.0,2011
  Rheinland-Pfalz,43645.0,20863.0,22782.0,2011
"    Koblenz, Stat. Region",17017.0,8066.0,8951.0,2011
"      Koblenz, kreisfreie Stadt",1228.0,544.0,684.0,2011
"      Ahrweiler, Landkreis",1501.0,712.0,789.0,2011
"      Altenkirchen (Westerwald), Landkreis",1629.0,789.0,840.0,2011
"      Bad Kreuznach, Landkreis",1774.0,842.0,932.0,2011
"      Birkenfeld, Landkreis",1100.0,529.0,571.0,2011
"      Cochem-Zell, Landkreis",793.0,390.0,403.0,2011
"      Mayen-Koblenz, Landkreis",2162.0,987.0,1175.0,2011
"      Neuwied, Landkreis",2020.0,975.0,1045.0,2011
      Rhein-Hunsrück-Kreis,1172.0,554.0,618.0,2011
      Rhein-Lahn-Kreis,1446.0,709.0,737.0,2011
      Westerwaldkreis,2192.0,1035.0,1157.0,2011
"    Trier, Stat. Region",5543.0,2680.0,2863.0,2011
"      Trier, kreisfreie Stadt",1073.0,505.0,568.0,2011
"      Bernkastel-Wittlich, Landkreis",1167.0,587.0,580.0,2011
      Eifelkreis Bitburg-Prüm,1157.0,546.0,611.0,2011
"      Vulkaneifel, Landkreis",711.0,378.0,333.0,2011
"      Trier-Saarburg, Landkreis",1435.0,664.0,771.0,2011
"    Rheinhessen-Pfalz, Stat. Region",21085.0,10117.0,10968.0,2011
"      Frankenthal (Pfalz), kreisfreie Stadt",515.0,263.0,252.0,2011
"      Kaiserslautern, kreisfreie Stadt",1189.0,597.0,592.0,2011
"      Landau in der Pfalz, kreisfreie Stadt",443.0,196.0,247.0,2011
"      Ludwigshafen am Rhein, kreisfreie Stadt",1666.0,821.0,845.0,2011
"      Mainz, kreisfreie Stadt",1657.0,773.0,884.0,2011
"      Neustadt an der Weinstraße, kreisfreie Stadt",594.0,284.0,310.0,2011
"      Pirmasens, kreisfreie Stadt",661.0,305.0,356.0,2011
"      Speyer, kreisfreie Stadt",605.0,264.0,341.0,2011
"      Worms, kreisfreie Stadt",866.0,387.0,479.0,2011
"      Zweibrücken, kreisfreie Stadt",445.0,217.0,228.0,2011
"      Alzey-Worms, Landkreis",1279.0,601.0,678.0,2011
"      Bad Dürkheim, Landkreis",1587.0,755.0,832.0,2011
      Donnersbergkreis,811.0,369.0,442.0,2011
"      Germersheim, Landkreis",1133.0,601.0,532.0,2011
"      Kaiserslautern, Landkreis",1182.0,570.0,612.0,2011
"      Kusel, Landkreis",889.0,400.0,489.0,2011
"      Südliche Weinstraße, Landkreis",1157.0,562.0,595.0,2011
      Rhein-Pfalz-Kreis,1489.0,720.0,769.0,2011
"      Mainz-Bingen, Landkreis",1813.0,881.0,932.0,2011
"      Südwestpfalz, Landkreis",1104.0,551.0,553.0,2011
Deutschland,869582.0,416423.0,453159.0,2012
  Rheinland-Pfalz,44404.0,21195.0,23209.0,2012
"    Koblenz, Stat. Region",17492.0,8320.0,9172.0,2012
"      Koblenz, kreisfreie Stadt",1250.0,547.0,703.0,2012
"      Ahrweiler, Landkreis",1577.0,752.0,825.0,2012
"      Altenkirchen (Westerwald), Landkreis",1596.0,773.0,823.0,2012
"      Bad Kreuznach, Landkreis",1852.0,871.0,981.0,2012
"      Birkenfeld, Landkreis",1120.0,525.0,595.0,2012
"      Cochem-Zell, Landkreis",826.0,424.0,402.0,2012
"      Mayen-Koblenz, Landkreis",2293.0,1134.0,1159.0,2012
"      Neuwied, Landkreis",2095.0,956.0,1139.0,2012
