area,total_Person,Single_Person,Two_Person,Three_Person,Four_Person,Five_Person,Six_Person,couples_without_a_child,couples_with_a_child,single_parents,people_sharing_an_apartment
      Winterbach,196,49,80,38,22,7,0,69,67,8,3
      Daxweiler,334,85,99,94,41,9,6,90,128,31,0
      Dörrebach,302,91,97,73,29,9,3,94,90,21,6
      Eckenroth,102,20,52,18,9,3,0,39,27,13,3
      Roth,111,22,35,25,23,6,0,29,51,9,0
      Schöneberg,268,64,102,45,45,3,9,80,99,25,0
      Schweppenhausen,391,109,119,93,45,16,9,103,133,34,12
      Seibersbach,556,134,173,105,91,40,13,150,202,60,10
"      Stromberg, St.",1498,439,591,236,149,64,19,513,390,113,43
      Waldlaubersheim,335,77,124,70,39,15,10,109,115,31,3
      Warmsroth,181,39,81,31,23,4,3,72,57,10,3
Morbach,4545,1315,1560,824,601,184,61,1389,1437,340,64
"Wittlich, St.",7829,2662,2747,1147,853,285,135,2222,2036,699,210
"      Bernkastel-Kues, St.",3341,1358,1089,466,301,79,48,919,721,289,54
      Brauneberg,519,138,176,118,56,28,3,154,186,31,10
      Burgen,257,72,82,48,37,12,6,71,88,26,0
      Erden,173,48,72,12,35,6,0,49,53,11,12
      Gornhausen,93,23,25,26,16,3,0,22,38,10,0
      Graach an der Mosel,287,80,106,41,43,6,11,95,74,29,9
      Hochscheid,107,20,41,28,18,0,0,40,31,13,3
      Kesten,170,54,58,27,16,12,3,36,49,22,9
      Kleinich,279,65,69,67,49,9,20,73,116,22,3
      Kommen,120,18,35,33,24,7,3,38,58,6,0
      Lieser,586,197,191,91,77,21,9,168,166,49,6
      Longkamp,473,110,166,75,78,30,14,160,172,28,3
      Lösnich,194,66,62,26,25,15,0,53,66,9,0
      Maring-Noviand,645,186,226,115,71,41,6,196,210,44,9
      Monzelfeld,511,117,165,121,65,34,9,152,223,19,0
      Mülheim Mosel,449,127,155,88,59,20,0,134,143,39,6
      Ürzig,425,135,151,69,37,26,7,124,120,34,12
      Veldenz,417,107,165,85,37,13,10,148,116,31,15
      Wintrich,423,109,161,69,52,25,7,122,132,51,9
      Zeltingen-Rachtig,991,270,335,192,155,33,6,271,334,104,12
      Bausendorf,543,139,184,105,79,25,11,168,184,46,6
      Bengel,362,95,120,74,64,9,0,113,132,19,3
      Diefenbach,40,15,16,6,3,0,0,13,3,6,3
      Flußbach,196,44,70,48,30,4,0,58,72,16,6
      Hontheim,360,96,125,58,53,22,6,111,107,40,6
      Kinderbeuern,455,125,146,90,79,9,6,132,162,27,9
      Kinheim,371,120,132,58,49,12,0,125,107,19,0
      Kröv,976,273,311,187,145,45,15,293,320,81,9
      Reil,504,164,174,74,54,26,12,138,138,58,6
      Willwerscheid,21,9,0,0,8,4,0,0,12,0,0
      Bettenfeld,325,92,131,36,37,19,10,112,78,37,6
      Dierfeld,0,0,0,0,0,0,0,0,0,0,0
      Eckfeld,155,39,55,30,25,0,6,49,52,15,0
      Eisenschmitt,141,36,48,34,13,4,6,38,45,15,7
      Gipperath,100,26,31,23,17,3,0,21,36,17,0
      Greimerath,104,31,16,18,27,9,3,19,48,3,3
      Großlittgen,418,112,135,88,61,19,3,128,133,36,9
      Hasborn,228,48,67,42,53,9,9,58,87,32,3
      Karl,86,32,32,3,10,6,3,29,22,3,0
      Laufeld,201,53,55,37,37,19,0,43,82,20,3
"      Manderscheid, St.",626,227,207,81,79,26,6,163,174,50,12
      Meerfeld,138,20,53,18,22,14,11,39,62,13,4
      Musweiler,20,3,9,0,4,4,0,6,8,0,3
      Niederöfflingen,187,55,51,25,31,22,3,42,75,15,0
      Niederscheidweiler,110,28,28,33,14,7,0,25,51,6,0
      Oberöfflingen,98,22,28,31,14,3,0,25,44,7,0
      Oberscheidweiler,74,21,32,11,10,0,0,19,21,4,9
      Pantenburg,102,24,40,19,12,7,0,31,25,19,3
      Schladt,59,21,25,3,7,0,3,25,10,3,0
      Schwarzenborn,24,7,6,3,4,4,0,6,11,0,0
      Wallscheid,151,24,75,25,15,12,0,60,46,18,3
      Minheim,210,52,81,21,40,10,6,60,77,15,6
      Neumagen-Dhron,984,272,337,183,124,42,26,295,316,83,18
      Piesport,888,266,266,192,111,44,9,228,308,76,10
      Trittenheim,464,120,146,99,67,26,6,125,169,44,6
      Berglicht,187,53,44,34,35,15,6,40,84,10,0
      Breit,94,13,25,23,17,13,3,18,44,15,4
      Büdlich,75,12,25,13,12,10,3,28,35,0,0
      Burtscheid,56,10,16,24,3,3,0,19,24,3,0
      Deuselbach,128,51,34,28,12,0,3,33,31,13,0
      Dhronecken,59,14,16,16,13,0,0,13,26,6,0
      Etgert,22,0,3,10,6,3,0,3,16,0,3
      Gielert,63,10,9,16,10,9,9,9,38,6,0
      Gräfendhron,50,7,18,12,10,0,3,18,19,6,0
      Heidenburg,297,80,91,50,61,9,6,72,111,28,6
      Hilscheid,122,39,34,24,22,3,0,34,40,6,3
      Horath,174,34,60,31,35,7,7,59,61,13,7
      Immert,61,16,25,11,6,3,0,18,17,10,0
      Lückenburg,41,9,13,3,13,0,3,9,15,8,0
      Malborn,579,136,201,134,72,30,6,182,200,52,9
      Merschbach,21,3,9,3,0,3,3,6,9,3,0
      Neunkirchen,57,13,19,6,15,4,0,18,22,4,0
      Rorodt,20,4,13,0,0,3,0,13,3,0,0
      Schönberg,90,16,18,19,27,10,0,18,47,9,0
      Talling,92,12,27,26,24,3,0,27,41,12,0
      Thalfang,776,251,222,165,94,27,17,190,260,63,12
      Burg Mosel,182,46,54,48,9,6,19,49,59,25,3
      Enkirch,723,213,247,120,102,31,10,206,230,57,17
      Irmenach,302,69,95,52,56,15,15,86,120,21,6
      Lötzbeuren,204,55,67,35,28,19,0,67,70,9,3
      Starkenburg,113,40,34,23,13,0,3,30,32,11,0
"      Traben-Trarbach, St.",2802,1058,902,407,278,109,48,743,684,260,57
      Altrich,673,173,213,123,99,42,23,193,254,44,9
      Arenrath,155,38,45,33,36,3,0,36,69,9,3
      Bergweiler,362,83,130,69,48,20,12,112,140,23,4
      Binsfeld,447,131,157,60,49,34,16,125,132,47,12
      Bruch,191,63,63,22,31,6,6,60,62,6,0
      Dierscheid,70,16,24,15,9,3,3,21,27,6,0
      Dodenburg,49,12,15,15,7,0,0,15,16,6,0
      Dreis,550,134,172,102,95,31,16,144,228,35,9
      Esch,169,47,41,35,21,16,9,53,59,10,0
      Gladbach,173,60,59,34,16,4,0,43,48,19,3
      Heckenmünster,58,15,12,18,10,0,3,12,28,3,0
      Heidweiler,77,27,18,13,12,3,4,18,29,3,0
      Hetzerath,878,204,267,182,166,43,16,237,339,82,16
      Hupperath,237,53,71,58,46,9,0,57,106,21,0
      Klausen,568,160,192,106,73,22,15,166,186,50,6
      Landscheid,868,249,277,177,121,31,13,230,280,94,15
      Minderlittgen,288,85,82,54,40,24,3,66,109,21,7
      Niersbach,282,76,96,46,64,0,0,70,89,44,3
      Osann-Monzel,702,198,253,135,82,22,12,177,225,86,16
      Platten,369,101,112,92,31,24,9,103,141,21,3
      Plein,270,58,100,57,43,6,6,86,109,11,6
      Rivenich,290,72,82,69,46,18,3,64,130,24,0
      Salmtal,950,255,291,164,175,56,9,236,355,91,13
      Sehlem,347,74,115,83,72,3,0,95,149,23,6
"Idar-Oberstein, gr. kr. St.",14133,5465,4943,2065,1223,315,122,4202,3043,1194,229
"      Baumholder, St.",1995,763,647,307,191,43,44,466,445,283,38
      Berglangenbach,192,45,58,34,37,18,0,55,83,9,0
      Berschweiler bei Baumholder,244,93,67,50,28,6,0,72,68,11,0
      Eckersweiler,73,22,24,9,9,6,3,18,27,6,0
      Fohren-Linden,137,31,49,39,11,0,7,46,48,9,3
      Frauenberg,183,51,70,32,21,3,6,57,51,14,10
      Hahnweiler,84,21,31,9,17,3,3,22,26,12,3
      Heimbach,497,155,174,72,65,25,6,140,135,64,3
      Leitzweiler,44,13,13,8,3,7,0,7,14,3,7
      Mettweiler,124,34,50,15,16,6,3,34,40,13,3
      Reichenbach,238,53,67,59,34,13,12,48,99,35,3
      Rohrbach,96,29,30,27,6,0,4,24,34,9,0
      Rückweiler,166,48,34,41,25,11,7,45,61,12,0
      Ruschberg,359,105,124,54,55,15,6,96,111,37,10
      Abentheuer,188,58,50,34,37,6,3,35,77,15,3
      Achtelsbach,164,47,53,18,21,10,15,40,58,19,0
"      Birkenfeld, St.",2880,985,902,475,338,131,49,722,816,318,39
      Börfink,96,22,40,17,14,0,3,24,31,16,3
      Brücken,519,136,181,66,94,21,21,161,170,45,7
      Buhlenberg,199,47,64,50,29,3,6,52,79,21,0
      Dambach,66,10,29,18,6,3,0,29,18,6,3
      Dienstweiler,115,16,48,26,19,6,0,47,42,10,0
      Elchweiler,45,14,20,4,3,4,0,20,7,4,0
      Ellenberg,32,9,7,3,7,3,3,7,16,0,0
      Ellweiler,129,38,32,26,27,6,0,24,52,12,3
      Gimbweiler,189,53,72,39,22,0,3,57,58,21,0
      Gollenberg,48,7,6,20,3,3,9,6,31,4,0
      Hattgenstein,110,28,48,16,3,12,3,45,28,9,0
      Hoppstädten-Weiersbach,1309,526,356,180,163,47,37,288,358,86,51
      Kronweiler,143,48,58,24,6,3,4,58,28,6,3
      Leisel,221,46,78,46,30,17,4,54,90,22,9
      Meckenbach,50,12,9,9,14,3,3,12,23,3,0
      Niederbrombach,207,59,76,30,30,6,6,70,69,9,0
      Niederhambach,146,35,51,31,23,3,3,52,44,9,6
      Nohen,165,42,60,34,23,6,0,53,51,16,3
      Oberbrombach,209,64,66,40,23,13,3,56,73,13,3
      Oberhambach,139,52,41,23,16,7,0,26,46,12,3
      Rimsberg,45,6,16,17,3,0,3,13,23,3,0
      Rinzenberg,128,25,62,22,19,0,0,54,34,15,0
      Rötsweiler-Nockenthal,224,44,97,37,37,3,6,72,70,32,6
      Schmißberg,101,39,27,22,9,0,4,27,32,3,0
      Schwollen,199,41,64,48,38,4,4,57,79,19,3
      Siesbach,157,38,59,41,13,6,0,50,41,25,3
      Sonnenberg-Winnenberg,220,65,77,46,25,4,3,62,47,42,4
      Wilzenberg-Hußweiler,119,15,47,24,20,10,3,46,44,14,0
      Allenbach,274,59,111,46,40,15,3,102,97,16,0
      Bergen,196,42,69,44,16,22,3,62,76,13,3
      Berschweiler bei Kirn,113,28,50,3,20,0,12,38,28,16,3
      Breitenthal,134,35,38,30,15,7,9,37,48,11,3
      Bruchweiler,233,68,74,37,42,6,6,71,69,22,3
      Dickesbach,167,35,66,39,20,7,0,58,54,20,0
      Fischbach,439,138,164,82,43,9,3,134,121,37,9
      Gerach,106,25,43,16,19,0,3,39,32,10,0
      Griebelschied,74,18,14,24,6,6,6,21,35,0,0
      Herborn,218,51,64,56,35,9,3,60,85,19,3
      Herrstein,333,78,117,65,48,25,0,87,120,36,12
      Hettenrodt,297,53,127,55,45,14,3,121,86,34,3
      Hintertiefenbach,169,44,57,34,25,6,3,44,56,19,6
      Kempfeld,386,110,141,77,38,11,9,119,108,36,13
      Kirschweiler,459,123,159,103,47,18,9,148,141,41,6
      Langweiler,110,30,43,21,7,6,3,31,34,15,0
      Mackenrodt,172,37,61,48,16,10,0,52,71,6,6
      Mittelreidenbach,331,68,117,88,49,3,6,102,128,33,0
      Mörschied,339,110,110,61,45,6,7,111,102,16,0
      Niederhosenbach,124,28,46,14,21,9,6,39,47,10,0
      Niederwörresbach,392,104,140,68,62,12,6,131,123,34,0
      Oberhosenbach,62,12,15,13,22,0,0,9,35,3,3
      Oberreidenbach,260,63,77,64,35,12,9,65,105,24,3
      Oberwörresbach,59,18,13,6,16,0,6,13,25,0,3
      Schmidthachenbach,163,41,73,19,20,4,6,61,49,12,0
      Sensweiler,199,64,62,35,29,3,6,53,61,18,3
      Sien,226,72,71,31,40,9,3,67,65,22,0
      Sienhachenbach,85,25,29,18,10,0,3,23,31,6,0
      Sonnschied,55,12,23,13,3,4,0,23,17,0,3
      Veitsrodt,286,72,103,56,46,9,0,79,102,33,0
      Vollmersbach,242,67,88,53,28,6,0,70,78,24,3
      Weiden,48,9,12,12,9,6,0,12,24,3,0
      Wickenrodt,64,12,27,13,6,6,0,24,25,0,3
      Wirschweiler,150,31,40,43,24,9,3,37,64,15,3
      Asbach,53,15,23,9,3,0,3,23,12,3,0
      Bollenbach,60,16,15,6,17,6,0,12,29,3,0
      Bundenbach,403,111,131,70,47,34,10,115,131,40,6
      Gösenroth,109,28,34,9,26,9,3,30,44,7,0
      Hausen,83,28,26,11,15,0,3,23,25,7,0
      Hellertshausen,86,25,22,30,3,6,0,20,31,10,0
      Horbruch,157,50,50,16,30,11,0,49,51,7,0
      Hottenbach,272,72,79,72,43,0,6,70,107,20,3
      Krummenau,58,16,31,7,0,4,0,20,11,7,4
      Oberkirn,144,36,37,37,25,0,9,38,64,6,0
      Rhaunen,792,189,246,171,111,50,25,207,317,70,9
      Schauren,221,46,84,40,32,13,6,81,82,12,0
      Schwerbach,18,3,9,6,0,0,0,3,3,9,0
      Stipshausen,367,90,128,60,56,30,3,94,137,40,6
      Sulzbach,129,22,55,19,24,3,6,46,42,19,0
      Weitersbach,42,7,16,6,6,0,7,13,16,3,3
      Beilstein,51,16,9,7,11,8,0,10,22,3,0
      Bremm,367,81,141,61,60,21,3,110,129,34,13
      Briedern,160,38,66,32,15,3,6,65,50,3,4
      Bruttig-Fankel,499,165,155,91,67,15,6,130,154,46,4
"      Cochem, St.",2352,945,756,349,218,55,29,655,536,177,39
      Dohr,278,64,81,51,56,20,6,79,109,23,3
      Ediger-Eller,471,129,177,81,49,15,20,144,147,44,7
      Ellenz-Poltersdorf,385,120,123,63,55,20,4,107,130,25,3
      Ernst,249,66,94,44,36,9,0,75,76,25,7
      Faid,453,119,142,87,68,21,16,126,168,33,7
      Greimersburg,282,61,103,43,54,17,4,83,109,26,3
      Klotten,629,192,204,118,82,18,15,195,186,50,6
      Mesenich,132,39,34,23,21,9,6,19,53,21,0
      Nehren,44,13,16,6,6,3,0,16,15,0,0
      Senheim,261,65,85,59,37,12,3,72,91,29,4
      Valwig,210,63,67,49,12,16,3,61,74,6,6
      Wirfus,88,28,38,6,13,3,0,35,19,3,3
      Brachtendorf,99,24,27,10,28,6,4,21,48,6,0
      Düngenheim,437,117,132,94,76,12,6,120,163,28,9
      Eppenberg,98,18,33,29,12,3,3,26,40,14,0
      Eulgem,72,28,7,13,7,7,10,7,33,4,0
      Gamlen,215,54,70,53,35,3,0,73,79,6,3
      Hambuch,268,59,71,53,63,22,0,59,132,15,3
      Hauroth,136,35,55,27,12,3,4,46,46,6,3
      Illerich,277,45,108,44,58,16,6,94,114,18,6
      Kaifenheim,315,52,105,65,66,17,10,83,139,26,15
"      Kaisersesch, St.",1254,390,397,211,165,63,28,357,403,92,12
      Kalenborn,98,25,30,22,15,6,0,26,30,11,6
      Landkern,396,107,146,69,49,19,6,132,120,34,3
      Laubach,274,65,103,58,25,16,7,97,96,13,3
      Leienkaul,128,23,56,31,15,0,3,36,37,29,3
      Masburg,444,111,129,94,71,29,10,120,164,49,0
      Müllenbach,286,58,110,52,45,21,0,89,106,24,9
      Urmersbach,185,43,69,34,26,6,7,60,70,12,0
      Zettingen,109,34,32,11,25,3,4,32,43,0,0
      Binningen,295,65,110,53,40,17,10,87,110,23,10
      Brieden,57,21,11,9,12,4,0,4,19,13,0
      Brohl,162,30,61,30,34,7,0,48,59,19,6
      Dünfus,120,25,50,36,6,3,0,44,42,9,0
      Forst Eifel,178,57,53,32,30,6,0,41,62,18,0
      Kail,121,28,42,20,25,3,3,42,45,6,0
      Lahr,74,22,21,18,10,0,3,27,22,3,0
      Lieg,182,38,79,30,31,4,0,65,61,18,0
      Lütz,144,57,47,20,20,0,0,50,37,0,0
      Möntenich,61,16,19,3,17,6,0,10,20,15,0
      Mörsdorf,286,75,98,61,37,12,3,91,89,24,7
      Moselkern,283,93,96,54,24,16,0,83,73,34,0
      Müden Mosel,304,99,91,68,27,12,7,71,98,33,3
      Pommern,190,40,71,38,25,10,6,61,73,12,4
      Roes,205,51,56,35,47,16,0,46,88,17,3
      Treis-Karden,1031,338,350,177,122,19,25,302,301,76,14
      Zilshausen,135,37,43,12,30,6,7,40,55,3,0
      Alflen,349,78,102,80,54,28,7,95,153,19,4
      Auderath,240,70,57,47,46,14,6,56,95,16,3
      Bad Bertrich,507,206,179,50,53,9,10,149,100,37,15
      Beuren,209,73,67,35,28,3,3,46,63,24,3
      Büchel,473,106,170,76,87,22,12,152,185,20,10
      Filz,33,10,10,7,3,3,0,10,10,0,3
      Gevenich,297,86,94,46,50,18,3,76,104,25,6
      Gillenbeuren,123,52,25,23,20,3,0,25,39,7,0
      Kliding,87,14,35,19,19,0,0,32,32,9,0
      Lutzerath,637,184,202,104,98,37,12,168,228,48,9
      Schmitt,55,13,15,12,15,0,0,15,24,3,0
"      Ulmen, St.",1319,350,410,257,205,53,44,373,468,118,10
      Urschmitt,99,25,46,10,18,0,0,32,28,10,4
      Wagenhausen,30,9,3,6,6,6,0,0,15,3,3
      Weiler,134,32,47,16,26,10,3,38,52,9,3
      Wollmerath,92,23,27,16,3,16,7,24,39,6,0
      Alf,371,116,138,76,35,6,0,113,84,52,6
      Altlay,218,69,77,38,27,0,7,71,66,9,3
      Altstrimmig,151,33,65,30,17,6,0,54,41,19,4
      Blankenrath,661,148,225,123,109,31,25,199,255,50,9
      Briedel,461,135,139,89,69,19,10,108,169,40,9
      Bullay,700,233,235,97,105,24,6,198,210,50,9
      Forst Hunsrück,19,8,11,0,0,0,0,8,0,3,0
      Grenderich,186,49,83,34,10,6,4,77,48,12,0
      Haserich,87,16,23,18,27,0,3,26,41,4,0
      Hesweiler,54,12,16,9,13,4,0,7,26,9,0
      Liesenich,128,21,69,18,7,10,3,60,29,15,3
      Mittelstrimmig,173,35,59,48,24,0,7,46,73,15,4
      Moritzheim,52,18,9,3,12,4,6,9,19,3,3
      Neef,223,71,74,48,27,3,0,67,65,17,3
      Panzweiler,104,21,43,16,15,3,6,37,28,18,0
      Peterswald-Löffelscheid,290,74,87,47,39,22,21,68,114,31,3
      Pünderich,400,123,129,48,66,25,9,110,133,28,6
      Reidenhausen,82,24,35,13,10,0,0,28,19,11,0
      Sankt Aldegund,286,96,96,43,41,10,0,99,84,7,0
      Schauren,160,40,63,25,23,9,0,48,54,12,6
      Sosberg,62,13,22,12,12,3,0,22,21,6,0
      Tellig,122,26,39,32,19,6,0,45,40,11,0
      Walhausen,74,22,16,18,6,6,6,16,30,6,0
"      Zell Mosel, St.",1976,635,745,267,230,68,31,659,480,162,40
      Alsenz,701,227,228,108,75,41,22,180,215,67,12
      Finkenbach-Gersweiler,137,37,35,31,18,10,6,21,47,29,3
      Gaugrehweiler,230,58,74,44,27,21,6,70,81,21,0
      Kalkofen,77,14,31,12,10,4,6,20,32,8,3
      Mannweiler-Cölln,193,53,67,29,31,6,7,60,61,15,4
      Münsterappel,209,53,87,34,25,7,3,78,53,25,0
      Niederhausen an der Appel,103,22,28,38,15,0,0,28,40,13,0
      Niedermoschel,202,55,63,44,31,6,3,53,84,10,0
      Oberhausen an der Appel,65,27,19,7,6,6,0,19,16,3,0
"      Obermoschel, St.",500,163,179,99,41,15,3,142,132,53,10
      Oberndorf,107,25,53,20,6,3,0,40,29,9,4
      Schiersfeld,101,37,30,11,17,6,0,30,31,3,0
      Sitters,52,9,16,9,18,0,0,13,18,6,6
      Unkenbach,103,22,30,38,13,0,0,33,39,6,3
      Waldgrehweiler,105,40,33,19,6,7,0,26,32,7,0
      Winterborn,87,16,39,18,11,0,3,30,25,13,3
"      Eisenberg Pfalz, St.",4006,1305,1333,607,496,160,105,1107,1179,350,65
      Kerzenheim,881,200,350,139,135,36,21,285,290,80,26
      Ramsen,745,189,251,157,99,28,21,194,268,75,19
      Albisheim Pfrimm,643,171,196,115,92,37,32,180,240,52,0
      Biedesheim,251,51,74,59,55,12,0,67,108,25,0
      Bubenheim,181,41,63,36,31,10,0,47,66,27,0
      Dreisen,385,89,125,73,72,9,17,106,139,35,16
      Einselthum,329,64,125,56,56,19,9,113,125,24,3
      Göllheim,1533,402,531,271,223,72,34,448,515,152,16
      Immesheim,50,9,12,4,16,9,0,6,29,3,3
      Lautersheim,268,64,83,57,55,6,3,75,99,22,8
      Ottersheim,161,50,52,21,25,10,3,49,56,6,0
      Rüssingen,204,60,62,44,28,7,3,52,76,16,0
      Standenbühl,82,15,29,31,7,0,0,29,26,9,3
      Weitersweiler,195,46,55,47,38,3,6,52,81,12,4
      Zellertal,512,113,216,83,69,19,12,181,174,34,10
      Bennhausen,61,10,15,17,19,0,0,9,36,6,0
      Bischheim,281,77,85,63,36,13,7,66,104,28,6
      Bolanden,933,207,292,193,168,52,21,242,369,91,24
      Dannenfels,406,124,132,96,29,16,9,115,112,49,6
      Gauersheim,274,75,97,55,31,9,7,73,87,32,7
      Ilbesheim,219,41,71,45,49,10,3,65,94,16,3
      Jakobsweiler,104,19,45,20,17,3,0,42,34,9,0
"      Kirchheimbolanden, St.",3350,1113,1117,517,388,132,83,923,947,304,63
      Kriegsfeld,423,88,160,80,61,31,3,140,150,39,6
      Marnheim,657,139,233,115,107,44,19,195,247,64,12
      Morschheim,309,74,97,71,49,9,9,95,116,24,0
      Mörsfeld,211,59,62,43,38,3,6,73,67,12,0
      Oberwiesen,200,45,80,48,18,6,3,79,47,23,6
      Orbis,293,78,94,62,46,6,7,87,103,22,3
      Rittersheim,91,25,45,15,3,3,0,37,15,11,3
      Stetten,234,46,90,40,31,18,9,69,86,21,12
      Bayerfeld-Steckweiler,186,44,73,27,21,9,12,61,51,24,6
      Bisterschied,93,29,35,13,3,4,9,26,29,3,6
      Dielkirchen,236,60,74,44,40,6,12,48,86,36,6
      Dörrmoschel,61,31,19,7,0,4,0,13,11,3,3
      Gehrweiler,146,31,61,23,21,7,3,47,45,12,11
      Gerbach,235,59,71,44,45,13,3,64,87,18,7
      Gundersweiler,199,47,84,20,32,13,3,70,64,18,0
      Imsweiler,236,71,87,26,33,16,3,72,60,27,6
      Katzenbach,223,58,78,49,31,4,3,68,72,22,3
      Ransweiler,120,27,44,21,16,12,0,41,46,6,0
      Rathskirchen,73,26,19,14,3,7,4,19,21,7,0
      Reichsthal,30,6,7,6,11,0,0,10,14,0,0
"      Rockenhausen, St.",2387,768,869,399,237,74,40,740,601,240,38
      Ruppertsecken,151,32,53,40,23,0,3,62,57,0,0
      Sankt Alban,123,18,45,31,26,0,3,48,44,13,0
      Schönborn,44,0,26,9,6,3,0,29,9,6,0
      Seelen,56,6,21,16,7,3,3,24,23,3,0
      Stahlberg,86,25,23,18,14,3,3,25,32,4,0
      Teschenmoschel,55,25,22,8,0,0,0,15,4,8,3
      Würzweiler,95,20,36,19,11,9,0,26,33,13,3
      Börrstadt,358,71,138,67,44,22,16,121,127,32,7
      Breunigweiler,179,51,67,37,15,9,0,55,57,13,3
      Falkenstein,145,43,60,9,21,9,3,57,39,6,0
      Gonbach,208,41,99,38,27,3,0,87,64,13,3
      Höringen,278,59,92,60,43,12,12,75,114,27,3
      Imsbach,389,107,134,71,56,18,3,105,133,38,6
      Lohnsfeld,388,106,129,72,52,16,13,112,121,46,3
      Münchweiler an der Alsenz,505,146,158,88,89,18,6,136,185,32,6
      Schweisweiler,153,42,46,40,15,7,3,50,58,3,0
      Sippersfeld,482,109,179,99,65,21,9,158,151,58,6
      Steinbach am Donnersberg,301,60,104,72,47,12,6,94,111,30,6
      Wartenberg-Rohrbach,206,63,53,34,38,12,6,44,74,22,3
      Winnweiler,1958,536,620,391,265,94,52,528,682,178,34
"Bitburg, St.",6117,2300,1969,875,693,192,88,1626,1528,547,116
      Arzfeld,562,151,184,89,85,37,16,153,200,55,3
      Dackscheid,78,30,24,12,12,0,0,18,18,12,0
      Dahnen,132,23,56,19,22,12,0,60,40,9,0
      Daleiden,352,76,125,73,57,9,12,106,120,36,14
      Dasburg,121,43,31,28,6,10,3,35,40,0,3
      Eilscheid,16,6,7,0,3,0,0,4,3,3,0
      Eschfeld,76,20,28,13,12,3,0,20,28,8,0
      Euscheid,47,20,12,8,0,4,3,8,15,4,0
      Großkampenberg,52,14,4,18,10,6,0,8,30,0,0
      Hargarten,36,9,3,3,18,0,3,6,21,0,0
      Harspelt,20,0,9,7,0,0,4,9,11,0,0
      Herzfeld,9,0,0,0,0,3,6,3,6,0,0
      Irrhausen,114,25,43,22,12,12,0,41,39,6,3
      Jucken,81,18,27,21,9,3,3,15,36,0,12
      Kesfeld,43,10,6,9,15,3,0,3,24,3,3
      Kickeshausen,17,4,7,3,3,0,0,7,6,0,0
      Kinzenburg,23,9,10,4,0,0,0,7,4,3,0
      Krautscheid,99,18,22,19,23,11,6,25,44,12,0
      Lambertsberg,155,41,56,28,15,3,12,56,49,9,0
      Lascheid,34,13,14,0,4,3,0,7,7,7,0
      Lauperath,41,7,9,9,0,12,4,6,19,9,0
      Leidenborn,62,24,14,9,12,0,3,10,21,7,0
      Lichtenborn,132,30,30,29,22,9,12,24,58,20,0
      Lierfeld,28,3,3,13,6,0,3,4,15,3,3
      Lünebach,257,80,83,42,29,20,3,67,85,19,6
      Lützkampen,147,42,43,21,23,12,6,36,55,14,0
      Manderscheid,17,6,3,4,0,4,0,3,8,0,0
      Mauel,23,8,12,3,0,0,0,12,3,0,0
      Merlscheid,19,4,6,3,6,0,0,6,9,0,0
      Niederpierscheid,12,6,0,0,0,3,3,0,6,0,0
      Oberpierscheid,137,24,53,15,18,12,15,41,54,18,0
      Olmscheid,57,21,13,10,6,3,4,13,20,3,0
      Pintesfeld,18,3,7,4,4,0,0,7,8,0,0
      Plütscheid,123,31,28,22,29,6,7,25,58,6,3
      Preischeid,68,22,15,12,13,3,3,18,22,6,0
      Reiff,25,6,3,0,7,3,6,3,16,0,0
      Reipeldingen,40,15,15,3,4,3,0,12,10,3,0
      Roscheid,25,14,4,0,7,0,0,4,7,0,0
      Sengerich,7,3,4,0,0,0,0,4,0,0,0
      Sevenig Our,34,13,11,6,4,0,0,8,10,3,0
      Strickscheid,15,3,3,9,0,0,0,3,6,3,0
      Üttfeld,154,29,52,30,19,9,15,52,66,7,0
      Waxweiler,451,155,148,66,59,16,7,116,130,37,13
      Baustert,212,54,76,29,40,13,0,68,62,25,3
      Bettingen,411,116,115,68,84,10,18,98,149,34,14
      Bickendorf,210,66,69,38,28,9,0,62,66,10,6
      Biersdorf am See,218,81,51,44,32,10,0,53,71,7,6
      Birtlingen,11,7,0,4,0,0,0,0,4,0,0
      Brecht,88,15,19,19,17,12,6,13,54,3,3
      Brimingen,25,6,6,9,4,0,0,6,7,6,0
      Dahlem,104,19,22,41,16,6,0,18,54,9,4
      Dockendorf,77,7,27,15,19,6,3,24,40,3,3
      Dudeldorf,462,154,137,87,68,13,3,122,131,52,3
      Echtershausen,45,11,9,9,13,3,0,6,25,3,0
      Ehlenz,167,31,52,41,37,3,3,48,62,23,3
      Enzen,18,6,0,0,9,0,3,0,12,0,0
      Eßlingen,39,10,10,9,4,3,3,7,16,3,3
      Feilsdorf,12,6,3,3,0,0,0,6,0,0,0
      Fließem,307,92,93,43,52,18,9,66,112,27,10
      Gondorf,108,42,39,14,0,10,3,36,14,10,6
      Halsdorf,50,19,10,4,14,3,0,11,17,3,0
      Hamm,13,3,3,3,4,0,0,3,7,0,0
      Heilenbach,46,16,17,6,4,3,0,14,13,3,0
      Hisel,6,0,3,0,3,0,0,0,3,0,3
      Hütterscheid,90,26,24,18,12,6,4,21,28,9,6
      Hüttingen an der Kyll,136,38,53,18,20,7,0,50,39,9,0
      Idenheim,172,37,63,22,29,7,14,45,62,28,0
      Idesheim,163,37,43,37,18,18,10,43,58,22,3
      Ingendorf,87,24,12,15,16,14,6,9,48,6,0
      Ließem,34,17,10,4,3,0,0,6,7,4,0
