City,Total,Mining and extraction of stones and earth ,Manufacturing,Power Supply,Water Supply,Construction Industry,"Trade, maintance and repair motor vehicle",Traffic and warehousing,Hospitality,Information and communication,Provision of Finace and insurance service,Real estate and housing,"Freelance, science technology services",Other Economic services,Education and Teaching,Helth and social care,"Art, Entertainment and Recreation",Provision and other services,Year
"Südliche Weinstraße, Landkreis",5318.0,0.0,564.0,42.0,0.0,559.0,1088.0,122.0,679.0,160.0,131.0,458.0,502.0,185.0,148.0,265.0,134.0,260.0,2008
Rhein-Pfalz-Kreis,6029.0,3.0,485.0,26.0,28.0,705.0,1370.0,312.0,423.0,208.0,117.0,482.0,653.0,272.0,154.0,305.0,143.0,343.0,2008
"Mainz-Bingen, Landkreis",9375.0,6.0,781.0,33.0,32.0,967.0,1722.0,285.0,726.0,466.0,205.0,810.0,1299.0,458.0,301.0,487.0,261.0,536.0,2008
"Südwestpfalz, Landkreis",3929.0,0.0,466.0,11.0,15.0,573.0,943.0,108.0,416.0,86.0,72.0,259.0,283.0,125.0,122.0,187.0,60.0,203.0,2008
"Koblenz, kreisfreie Stadt",6084.0,1.0,315.0,15.0,17.0,394.0,1239.0,256.0,497.0,244.0,177.0,589.0,840.0,322.0,168.0,474.0,165.0,371.0,2009
"Ahrweiler, Landkreis",6557.0,8.0,587.0,17.0,27.0,774.0,1279.0,210.0,680.0,194.0,116.0,590.0,694.0,318.0,168.0,356.0,185.0,354.0,2009
"Altenkirchen (Westerwald), Landkreis",5882.0,0.0,675.0,28.0,37.0,672.0,1333.0,169.0,378.0,143.0,115.0,564.0,553.0,272.0,157.0,319.0,114.0,353.0,2009
"Bad Kreuznach, Landkreis",7164.0,8.0,644.0,50.0,34.0,738.0,1525.0,227.0,592.0,215.0,151.0,555.0,804.0,330.0,223.0,463.0,166.0,439.0,2009
"Birkenfeld, Landkreis",4039.0,2.0,691.0,15.0,32.0,394.0,939.0,95.0,333.0,78.0,113.0,286.0,294.0,133.0,89.0,240.0,92.0,213.0,2009
"Cochem-Zell, Landkreis",3181.0,1.0,268.0,23.0,8.0,367.0,655.0,95.0,626.0,53.0,59.0,242.0,198.0,96.0,74.0,179.0,46.0,191.0,2009
"Mayen-Koblenz, Landkreis",9556.0,35.0,943.0,48.0,34.0,1077.0,2208.0,378.0,757.0,265.0,228.0,797.0,966.0,391.0,255.0,507.0,214.0,453.0,2009
"Neuwied, Landkreis",8951.0,10.0,893.0,21.0,30.0,1116.0,1931.0,277.0,616.0,288.0,187.0,804.0,1011.0,395.0,204.0,485.0,207.0,476.0,2009
Rhein-Hunsrück-Kreis,4951.0,4.0,449.0,44.0,22.0,625.0,1024.0,193.0,459.0,139.0,118.0,436.0,497.0,226.0,133.0,246.0,102.0,234.0,2009
Rhein-Lahn-Kreis,5546.0,5.0,514.0,26.0,23.0,597.0,1111.0,183.0,549.0,170.0,123.0,420.0,629.0,265.0,169.0,323.0,120.0,319.0,2009
Westerwaldkreis,10206.0,35.0,1176.0,66.0,39.0,1234.0,2191.0,331.0,622.0,287.0,190.0,1007.0,1109.0,471.0,300.0,481.0,172.0,495.0,2009
"Trier, kreisfreie Stadt",5320.0,0.0,341.0,15.0,20.0,296.0,1302.0,153.0,482.0,156.0,121.0,527.0,706.0,188.0,123.0,431.0,120.0,339.0,2009
"Bernkastel-Wittlich, Landkreis",5428.0,9.0,608.0,36.0,21.0,568.0,1196.0,157.0,787.0,85.0,111.0,453.0,411.0,181.0,115.0,298.0,99.0,293.0,2009
Eifelkreis Bitburg-Prüm,4337.0,10.0,446.0,112.0,23.0,469.0,947.0,151.0,491.0,74.0,111.0,400.0,321.0,137.0,109.0,198.0,104.0,234.0,2009
"Vulkaneifel, Landkreis",2916.0,17.0,281.0,28.0,16.0,330.0,627.0,115.0,320.0,70.0,51.0,261.0,264.0,97.0,71.0,148.0,73.0,147.0,2009
"Trier-Saarburg, Landkreis",5172.0,9.0,494.0,39.0,25.0,657.0,1073.0,171.0,567.0,86.0,135.0,479.0,451.0,181.0,147.0,268.0,113.0,277.0,2009
"Frankenthal (Pfalz), kreisfreie Stadt",2038.0,1.0,152.0,9.0,8.0,182.0,455.0,85.0,156.0,56.0,44.0,191.0,232.0,95.0,52.0,154.0,49.0,117.0,2009
"Kaiserslautern, kreisfreie Stadt",4927.0,2.0,281.0,18.0,9.0,322.0,1067.0,169.0,423.0,164.0,120.0,434.0,747.0,215.0,146.0,388.0,124.0,298.0,2009
"Landau in der Pfalz, kreisfreie Stadt",2609.0,2.0,172.0,10.0,15.0,182.0,608.0,46.0,177.0,80.0,58.0,301.0,368.0,109.0,80.0,189.0,68.0,144.0,2009
"Ludwigshafen am Rhein, kreisfreie Stadt",6034.0,4.0,338.0,13.0,19.0,658.0,1200.0,313.0,559.0,193.0,101.0,450.0,672.0,363.0,184.0,439.0,163.0,365.0,2009
"Mainz, kreisfreie Stadt",10507.0,5.0,492.0,33.0,21.0,593.0,1759.0,361.0,719.0,635.0,221.0,1166.0,1759.0,588.0,233.0,763.0,428.0,731.0,2009
"Neustadt an der Weinstraße, kreisfreie Stadt",3048.0,0.0,193.0,10.0,5.0,239.0,620.0,75.0,263.0,122.0,79.0,309.0,457.0,111.0,69.0,219.0,87.0,190.0,2009
"Pirmasens, kreisfreie Stadt",2290.0,0.0,217.0,5.0,11.0,178.0,655.0,53.0,181.0,56.0,53.0,175.0,236.0,81.0,42.0,164.0,48.0,135.0,2009
"Speyer, kreisfreie Stadt",2760.0,4.0,196.0,7.0,16.0,187.0,592.0,76.0,244.0,91.0,75.0,284.0,352.0,101.0,88.0,195.0,91.0,161.0,2009
"Worms, kreisfreie Stadt",3788.0,5.0,272.0,16.0,14.0,383.0,837.0,142.0,294.0,132.0,73.0,340.0,458.0,178.0,77.0,233.0,115.0,219.0,2009
"Zweibrücken, kreisfreie Stadt",1579.0,1.0,120.0,8.0,11.0,131.0,410.0,45.0,145.0,45.0,33.0,116.0,168.0,61.0,41.0,115.0,42.0,87.0,2009
"Alzey-Worms, Landkreis",5491.0,3.0,564.0,100.0,25.0,617.0,1155.0,188.0,377.0,202.0,120.0,423.0,628.0,295.0,170.0,250.0,112.0,262.0,2009
"Bad Dürkheim, Landkreis",6412.0,3.0,499.0,27.0,27.0,650.0,1310.0,183.0,683.0,189.0,142.0,645.0,783.0,308.0,177.0,339.0,134.0,313.0,2009
Donnersbergkreis,2996.0,3.0,310.0,57.0,20.0,343.0,608.0,144.0,249.0,71.0,59.0,195.0,317.0,137.0,105.0,183.0,59.0,136.0,2009
"Germersheim, Landkreis",5264.0,15.0,433.0,33.0,37.0,547.0,1152.0,199.0,435.0,166.0,118.0,440.0,537.0,240.0,194.0,280.0,143.0,295.0,2009
"Kaiserslautern, Landkreis",4272.0,1.0,340.0,35.0,33.0,601.0,955.0,134.0,442.0,102.0,73.0,314.0,374.0,191.0,128.0,244.0,69.0,236.0,2009
"Kusel, Landkreis",2469.0,4.0,220.0,15.0,17.0,292.0,577.0,89.0,259.0,39.0,46.0,152.0,210.0,94.0,90.0,175.0,46.0,144.0,2009
"Südliche Weinstraße, Landkreis",5283.0,2.0,522.0,47.0,20.0,567.0,1080.0,116.0,634.0,152.0,127.0,463.0,530.0,205.0,153.0,267.0,130.0,268.0,2009
Rhein-Pfalz-Kreis,5938.0,3.0,472.0,38.0,29.0,704.0,1296.0,304.0,414.0,190.0,124.0,466.0,654.0,297.0,153.0,312.0,135.0,347.0,2009
"Mainz-Bingen, Landkreis",9416.0,6.0,723.0,47.0,33.0,964.0,1689.0,292.0,749.0,460.0,201.0,819.0,1359.0,482.0,295.0,489.0,271.0,537.0,2009
"Südwestpfalz, Landkreis",3928.0,0.0,451.0,15.0,15.0,560.0,925.0,112.0,435.0,97.0,65.0,271.0,274.0,138.0,125.0,192.0,61.0,192.0,2009
"Koblenz, kreisfreie Stadt",6099.0,1.0,281.0,19.0,15.0,412.0,1239.0,261.0,498.0,260.0,177.0,585.0,850.0,331.0,167.0,485.0,144.0,374.0,2010
"Ahrweiler, Landkreis",6655.0,8.0,552.0,27.0,27.0,784.0,1303.0,208.0,683.0,191.0,124.0,601.0,717.0,349.0,161.0,367.0,186.0,367.0,2010
"Altenkirchen (Westerwald), Landkreis",5891.0,0.0,666.0,35.0,33.0,670.0,1324.0,173.0,369.0,142.0,113.0,561.0,588.0,271.0,151.0,322.0,112.0,361.0,2010
"Bad Kreuznach, Landkreis",7210.0,10.0,575.0,60.0,36.0,719.0,1533.0,229.0,593.0,226.0,165.0,575.0,848.0,348.0,228.0,461.0,167.0,437.0,2010
"Birkenfeld, Landkreis",4013.0,2.0,648.0,17.0,28.0,378.0,936.0,99.0,332.0,77.0,122.0,282.0,297.0,145.0,86.0,251.0,87.0,226.0,2010
