Area,School_Type,Total_School,Total_People,Female,Foreigners,Year
"Aurich, Landkreis",Fachgymnasien,3.0,706.0,371.0,13.0,2017
"Cloppenburg, Landkreis",Fachgymnasien,3.0,1014.0,539.0,29.0,2017
"Emsland, Landkreis",Fachgymnasien,5.0,1258.0,695.0,24.0,2017
"Friesland, Landkreis",Fachgymnasien,2.0,383.0,234.0,6.0,2017
"Grafschaft Bentheim, Landkreis",Fachgymnasien,3.0,524.0,264.0,38.0,2017
"Leer, Landkreis",Fachgymnasien,2.0,697.0,367.0,20.0,2017
"Oldenburg, Landkreis",Fachgymnasien,1.0,276.0,139.0,3.0,2017
"Vechta, Landkreis",Fachgymnasien,3.0,600.0,312.0,25.0,2017
"Wesermarsch, Landkreis",Fachgymnasien,1.0,222.0,114.0,6.0,2017
"Bremen, kreisfreie Stadt",Fachgymnasien,7.0,789.0,454.0,61.0,2017
"Bremerhaven, kreisfreie Stadt",Fachgymnasien,3.0,255.0,114.0,9.0,2017
"Düsseldorf, kreisfreie Stadt",Fachgymnasien,9.0,1805.0,951.0,133.0,2017
"Duisburg, kreisfreie Stadt",Fachgymnasien,4.0,542.0,299.0,71.0,2017
"Essen, kreisfreie Stadt",Fachgymnasien,8.0,1035.0,490.0,86.0,2017
"Krefeld, kreisfreie Stadt",Fachgymnasien,3.0,982.0,484.0,47.0,2017
"Mönchengladbach, kreisfreie Stadt",Fachgymnasien,4.0,460.0,207.0,43.0,2017
"Mülheim an der Ruhr, kreisfreie Stadt",Fachgymnasien,1.0,105.0,44.0,7.0,2017
"Oberhausen, kreisfreie Stadt",Fachgymnasien,1.0,26.0,20.0,4.0,2017
"Remscheid, kreisfreie Stadt",Fachgymnasien,3.0,258.0,125.0,28.0,2017
"Solingen, kreisfreie Stadt",Fachgymnasien,3.0,247.0,118.0,18.0,2017
"Wuppertal, kreisfreie Stadt",Fachgymnasien,3.0,341.0,117.0,51.0,2017
"Kleve, Kreis",Fachgymnasien,3.0,930.0,558.0,31.0,2017
"Mettmann, Kreis",Fachgymnasien,4.0,879.0,481.0,49.0,2017
Rhein-Kreis Neuss,Fachgymnasien,4.0,527.0,287.0,30.0,2017
"Viersen, Kreis",Fachgymnasien,2.0,426.0,240.0,9.0,2017
"Wesel, Kreis",Fachgymnasien,4.0,1086.0,587.0,68.0,2017
"Bonn, kreisfreie Stadt",Fachgymnasien,4.0,591.0,340.0,47.0,2017
"Köln, kreisfreie Stadt",Fachgymnasien,10.0,1557.0,880.0,251.0,2017
"Leverkusen, kreisfreie Stadt",Fachgymnasien,3.0,516.0,277.0,38.0,2017
Städteregion Aachen (einschl. Stadt Aachen),Fachgymnasien,7.0,729.0,358.0,52.0,2017
"Aachen, krfr. Stadt",Fachgymnasien,4.0,466.0,236.0,22.0,2017
"Düren, Kreis",Fachgymnasien,4.0,461.0,243.0,20.0,2017
Rhein-Erft-Kreis,Fachgymnasien,5.0,747.0,362.0,44.0,2017
"Euskirchen, Kreis",Fachgymnasien,2.0,279.0,207.0,4.0,2017
"Heinsberg, Kreis",Fachgymnasien,3.0,384.0,216.0,15.0,2017
Oberbergischer Kreis,Fachgymnasien,3.0,298.0,196.0,11.0,2017
Rheinisch-Bergischer Kreis,Fachgymnasien,2.0,277.0,161.0,5.0,2017
Rhein-Sieg-Kreis,Fachgymnasien,5.0,615.0,348.0,26.0,2017
"Bottrop, kreisfreie Stadt",Fachgymnasien,1.0,169.0,79.0,4.0,2017
"Gelsenkirchen, kreisfreie Stadt",Fachgymnasien,3.0,464.0,245.0,64.0,2017
"Münster, kreisfreie Stadt",Fachgymnasien,6.0,1163.0,647.0,54.0,2017
"Borken, Kreis",Fachgymnasien,8.0,1533.0,933.0,37.0,2017
"Coesfeld, Kreis",Fachgymnasien,4.0,762.0,445.0,7.0,2017
"Recklinghausen, Kreis",Fachgymnasien,10.0,2042.0,1160.0,94.0,2017
"Steinfurt, Kreis",Fachgymnasien,9.0,2469.0,1394.0,65.0,2017
"Warendorf, Kreis",Fachgymnasien,4.0,598.0,312.0,27.0,2017
"Bielefeld, kreisfreie Stadt",Fachgymnasien,5.0,648.0,416.0,32.0,2017
"Gütersloh, Kreis",Fachgymnasien,5.0,683.0,367.0,32.0,2017
"Herford, Kreis",Fachgymnasien,6.0,806.0,463.0,37.0,2017
"Höxter, Kreis",Fachgymnasien,3.0,438.0,239.0,6.0,2017
"Lippe, Kreis",Fachgymnasien,6.0,890.0,510.0,43.0,2017
"Minden-Lübbecke, Kreis",Fachgymnasien,3.0,718.0,445.0,34.0,2017
"Paderborn, Kreis",Fachgymnasien,5.0,675.0,321.0,25.0,2017
"Bochum, kreisfreie Stadt",Fachgymnasien,3.0,492.0,238.0,29.0,2017
"Dortmund, kreisfreie Stadt",Fachgymnasien,9.0,1040.0,538.0,86.0,2017
"Hagen, kreisfreie Stadt",Fachgymnasien,3.0,391.0,234.0,36.0,2017
"Hamm, kreisfreie Stadt",Fachgymnasien,4.0,630.0,381.0,19.0,2017
"Herne, kreisfreie Stadt",Fachgymnasien,2.0,212.0,130.0,31.0,2017
Ennepe-Ruhr-Kreis,Fachgymnasien,2.0,366.0,185.0,39.0,2017
Hochsauerlandkreis,Fachgymnasien,6.0,753.0,486.0,37.0,2017
Märkischer Kreis,Fachgymnasien,6.0,953.0,532.0,49.0,2017
"Olpe, Kreis",Fachgymnasien,1.0,160.0,115.0,12.0,2017
"Siegen-Wittgenstein, Kreis",Fachgymnasien,3.0,521.0,265.0,23.0,2017
"Soest, Kreis",Fachgymnasien,7.0,738.0,408.0,21.0,2017
"Unna, Kreis",Fachgymnasien,5.0,624.0,286.0,34.0,2017
"Darmstadt, kreisfreie Stadt",Fachgymnasien,2.0,436.0,196.0,36.0,2017
"Frankfurt am Main, kreisfreie Stadt",Fachgymnasien,4.0,578.0,241.0,102.0,2017
"Offenbach am Main, kreisfreie Stadt",Fachgymnasien,2.0,463.0,185.0,148.0,2017
"Wiesbaden, Landeshauptstadt, kreisfreie Stadt",Fachgymnasien,2.0,733.0,369.0,53.0,2017
"Bergstraße, Landkreis",Fachgymnasien,1.0,642.0,334.0,51.0,2017
"Darmstadt-Dieburg, Landkreis",Fachgymnasien,1.0,423.0,188.0,35.0,2017
"Groß-Gerau, Landkreis",Fachgymnasien,2.0,589.0,247.0,68.0,2017
Hochtaunuskreis,Fachgymnasien,4.0,578.0,272.0,36.0,2017
Main-Kinzig-Kreis,Fachgymnasien,4.0,1791.0,905.0,147.0,2017
Main-Taunus-Kreis,Fachgymnasien,1.0,499.0,199.0,34.0,2017
Odenwaldkreis,Fachgymnasien,1.0,221.0,115.0,16.0,2017
"Offenbach, Landkreis",Fachgymnasien,3.0,1090.0,609.0,104.0,2017
Wetteraukreis,Fachgymnasien,1.0,201.0,51.0,9.0,2017
"Gießen, Landkreis",Fachgymnasien,3.0,484.0,251.0,31.0,2017
Lahn-Dill-Kreis,Fachgymnasien,3.0,977.0,488.0,50.0,2017
"Limburg-Weilburg, Landkreis",Fachgymnasien,3.0,1274.0,704.0,73.0,2017
"Marburg-Biedenkopf, Landkreis",Fachgymnasien,3.0,513.0,260.0,35.0,2017
Vogelsbergkreis,Fachgymnasien,2.0,375.0,217.0,13.0,2017
"Kassel, kreisfreie Stadt",Fachgymnasien,3.0,1245.0,643.0,107.0,2017
"Fulda, Landkreis",Fachgymnasien,5.0,687.0,375.0,28.0,2017
"Hersfeld-Rotenburg, Landkreis",Fachgymnasien,1.0,242.0,133.0,7.0,2017
"Waldeck-Frankenberg, Landkreis",Fachgymnasien,1.0,297.0,163.0,20.0,2017
Werra-Meißner-Kreis,Fachgymnasien,2.0,485.0,239.0,10.0,2017
"Koblenz, kreisfreie Stadt",Fachgymnasien,3.0,985.0,513.0,69.0,2017
"Ahrweiler, Landkreis",Fachgymnasien,1.0,223.0,85.0,13.0,2017
"Altenkirchen (Westerwald), Landkreis",Fachgymnasien,2.0,254.0,100.0,18.0,2017
"Bad Kreuznach, Landkreis",Fachgymnasien,2.0,357.0,137.0,25.0,2017
"Birkenfeld, Landkreis",Fachgymnasien,1.0,251.0,103.0,12.0,2017
"Mayen-Koblenz, Landkreis",Fachgymnasien,2.0,402.0,199.0,22.0,2017
"Neuwied, Landkreis",Fachgymnasien,2.0,494.0,262.0,38.0,2017
Rhein-Hunsrück-Kreis,Fachgymnasien,1.0,193.0,96.0,5.0,2017
Rhein-Lahn-Kreis,Fachgymnasien,1.0,292.0,115.0,15.0,2017
Westerwaldkreis,Fachgymnasien,2.0,653.0,380.0,27.0,2017
"Trier, kreisfreie Stadt",Fachgymnasien,4.0,883.0,530.0,27.0,2017
"Bernkastel-Wittlich, Landkreis",Fachgymnasien,1.0,202.0,49.0,9.0,2017
Eifelkreis Bitburg-Prüm,Fachgymnasien,1.0,133.0,113.0,2.0,2017
"Vulkaneifel, Landkreis",Fachgymnasien,1.0,127.0,28.0,4.0,2017
"Trier-Saarburg, Landkreis",Fachgymnasien,1.0,92.0,46.0,5.0,2017
"Kaiserslautern, kreisfreie Stadt",Fachgymnasien,2.0,609.0,298.0,48.0,2017
"Landau in der Pfalz, kreisfreie Stadt",Fachgymnasien,1.0,419.0,295.0,11.0,2017
"Ludwigshafen am Rhein, kreisfreie Stadt",Fachgymnasien,3.0,756.0,327.0,109.0,2017
"Mainz, kreisfreie Stadt",Fachgymnasien,3.0,910.0,435.0,124.0,2017
"Neustadt an der Weinstraße, kreisfreie Stadt",Fachgymnasien,1.0,263.0,61.0,18.0,2017
"Pirmasens, kreisfreie Stadt",Fachgymnasien,1.0,298.0,147.0,22.0,2017
"Zweibrücken, kreisfreie Stadt",Fachgymnasien,1.0,144.0,60.0,10.0,2017
Donnersbergkreis,Fachgymnasien,1.0,135.0,62.0,11.0,2017
"Germersheim, Landkreis",Fachgymnasien,1.0,105.0,49.0,6.0,2017
"Kusel, Landkreis",Fachgymnasien,1.0,130.0,60.0,5.0,2017
"Mainz-Bingen, Landkreis",Fachgymnasien,1.0,10.0,4.0,1.0,2017
"Stuttgart, Landeshauptstadt, Stadtkreis",Fachgymnasien,21.0,3504.0,1814.0,475.0,2017
"Böblingen, Landkreis",Fachgymnasien,8.0,2364.0,1351.0,161.0,2017
"Esslingen, Landkreis",Fachgymnasien,9.0,1985.0,1131.0,181.0,2017
"Göppingen, Landkreis",Fachgymnasien,6.0,1366.0,801.0,118.0,2017
"Ludwigsburg, Landkreis",Fachgymnasien,7.0,2259.0,1203.0,254.0,2017
"Rems-Murr-Kreis, Landkreis",Fachgymnasien,12.0,2312.0,1209.0,188.0,2017
"Heilbronn, Universitätsstadt, Stadtkreis",Fachgymnasien,9.0,1842.0,1133.0,207.0,2017
"Heilbronn, Landkreis",Fachgymnasien,1.0,115.0,14.0,13.0,2017
"Hohenlohekreis, Landkreis",Fachgymnasien,4.0,1039.0,584.0,30.0,2017
"Schwäbisch Hall, Landkreis",Fachgymnasien,6.0,1314.0,755.0,68.0,2017
"Main-Tauber-Kreis, Landkreis",Fachgymnasien,6.0,1136.0,612.0,34.0,2017
"Heidenheim, Landkreis",Fachgymnasien,3.0,661.0,352.0,42.0,2017
"Ostalbkreis, Landkreis",Fachgymnasien,10.0,1946.0,1106.0,122.0,2017
"Baden-Baden, Stadtkreis",Fachgymnasien,3.0,420.0,219.0,22.0,2017
"Karlsruhe, Stadtkreis",Fachgymnasien,7.0,1453.0,820.0,122.0,2017
"Karlsruhe, Landkreis",Fachgymnasien,7.0,2383.0,1274.0,134.0,2017
"Rastatt, Landkreis",Fachgymnasien,5.0,1283.0,698.0,92.0,2017
"Heidelberg, Stadtkreis",Fachgymnasien,4.0,1120.0,510.0,88.0,2017
"Mannheim, Stadtkreis",Fachgymnasien,6.0,1335.0,753.0,199.0,2017
"Neckar-Odenwald-Kreis, Landkreis",Fachgymnasien,6.0,947.0,503.0,42.0,2017
"Rhein-Neckar-Kreis, Landkreis",Fachgymnasien,13.0,2861.0,1462.0,163.0,2017
"Pforzheim, Stadtkreis",Fachgymnasien,5.0,1451.0,765.0,110.0,2017
"Calw, Landkreis",Fachgymnasien,5.0,941.0,491.0,62.0,2017
"Enzkreis, Landkreis",Fachgymnasien,3.0,246.0,126.0,24.0,2017
"Freudenstadt, Landkreis",Fachgymnasien,4.0,932.0,509.0,46.0,2017
"Freiburg im Breisgau, Stadtkreis",Fachgymnasien,9.0,2582.0,1353.0,151.0,2017
"Breisgau-Hochschwarzwald, Landkreis",Fachgymnasien,4.0,735.0,357.0,31.0,2017
"Emmendingen, Landkreis",Fachgymnasien,3.0,953.0,506.0,43.0,2017
"Ortenaukreis, Landkreis",Fachgymnasien,12.0,2816.0,1621.0,106.0,2017
"Rottweil, Landkreis",Fachgymnasien,4.0,947.0,557.0,48.0,2017
"Schwarzwald-Baar-Kreis, Landkreis",Fachgymnasien,8.0,1434.0,796.0,88.0,2017
"Tuttlingen, Landkreis",Fachgymnasien,2.0,618.0,348.0,46.0,2017
"Konstanz, Landkreis",Fachgymnasien,9.0,2145.0,1088.0,147.0,2017
"Lörrach, Landkreis",Fachgymnasien,5.0,1152.0,592.0,135.0,2017
"Waldshut, Landkreis",Fachgymnasien,5.0,879.0,461.0,62.0,2017
"Reutlingen, Landkreis",Fachgymnasien,7.0,1366.0,816.0,83.0,2017
"Tübingen, Landkreis",Fachgymnasien,6.0,1480.0,761.0,90.0,2017
"Zollernalbkreis, Landkreis",Fachgymnasien,5.0,1174.0,700.0,71.0,2017
"Ulm, Stadtkreis",Fachgymnasien,5.0,2173.0,1168.0,142.0,2017
"Alb-Donau-Kreis, Landkreis",Fachgymnasien,3.0,599.0,362.0,30.0,2017
"Biberach, Landkreis",Fachgymnasien,5.0,1248.0,678.0,55.0,2017
"Bodenseekreis, Landkreis",Fachgymnasien,8.0,1984.0,1087.0,131.0,2017
"Ravensburg, Landkreis",Fachgymnasien,6.0,2756.0,1480.0,94.0,2017
"Sigmaringen, Landkreis",Fachgymnasien,4.0,777.0,423.0,43.0,2017
"Saarbrücken, Regionalverband",Fachgymnasien,2.0,399.0,189.0,74.0,2017
"Saarbrücken, Landeshauptstadt",Fachgymnasien,1.0,288.0,159.0,64.0,2017
"Merzig-Wadern, Landkreis",Fachgymnasien,1.0,138.0,95.0,8.0,2017
"Neunkirchen, Landkreis",Fachgymnasien,1.0,193.0,119.0,13.0,2017
"Saarlouis, Landkreis",Fachgymnasien,2.0,365.0,252.0,17.0,2017
Saarpfalz-Kreis,Fachgymnasien,2.0,311.0,178.0,15.0,2017
Berlin,Fachgymnasien,22.0,5653.0,2670.0,459.0,2017
"Brandenburg an der Havel, kreisfreie Stadt",Fachgymnasien,1.0,273.0,152.0,2.0,2017
"Cottbus, kreisfreie Stadt",Fachgymnasien,1.0,324.0,174.0,11.0,2017
"Frankfurt (Oder), kreisfreie Stadt",Fachgymnasien,1.0,261.0,137.0,12.0,2017
"Barnim, Landkreis",Fachgymnasien,3.0,577.0,299.0,12.0,2017
"Dahme-Spreewald, Landkreis",Fachgymnasien,1.0,213.0,112.0,1.0,2017
"Elbe-Elster, Landkreis",Fachgymnasien,1.0,240.0,130.0,1.0,2017
"Havelland, Landkreis",Fachgymnasien,1.0,175.0,76.0,2.0,2017
"Oberhavel, Landkreis",Fachgymnasien,2.0,603.0,315.0,8.0,2017
"Oberspreewald-Lausitz, Landkreis",Fachgymnasien,1.0,157.0,81.0,3.0,2017
"Oder-Spree, Landkreis",Fachgymnasien,1.0,464.0,242.0,13.0,2017
"Ostprignitz-Ruppin, Landkreis",Fachgymnasien,1.0,212.0,123.0,4.0,2017
"Potsdam-Mittelmark, Landkreis",Fachgymnasien,1.0,192.0,98.0,4.0,2017
"Prignitz, Landkreis",Fachgymnasien,1.0,175.0,98.0,6.0,2017
"Teltow-Fläming, Landkreis",Fachgymnasien,1.0,259.0,128.0,7.0,2017
"Rostock, Hanse- und Universitätsstadt, kreisfreie Stadt",Fachgymnasien,3.0,620.0,225.0,18.0,2017
"Schwerin, Landeshauptstadt, kreisfreie Stadt",Fachgymnasien,2.0,397.0,206.0,14.0,2017
"Mecklenburgische Seenplatte, Landkreis",Fachgymnasien,2.0,315.0,142.0,9.0,2017
Landkreis Rostock,Fachgymnasien,1.0,112.0,80.0,2.0,2017
"Vorpommern-Rügen, Landkreis",Fachgymnasien,1.0,397.0,191.0,7.0,2017
Landkreis Nordwestmecklenburg,Fachgymnasien,1.0,80.0,40.0,2.0,2017
"Vorpommern-Greifswald, Landkreis",Fachgymnasien,2.0,265.0,129.0,16.0,2017
Landkreis Ludwigslust-Parchim,Fachgymnasien,1.0,136.0,62.0,14.0,2017
"Chemnitz, Stadt",Fachgymnasien,4.0,744.0,439.0,35.0,2017
Erzgebirgskreis,Fachgymnasien,3.0,760.0,437.0,5.0,2017
"Mittelsachsen, Landkreis",Fachgymnasien,1.0,267.0,128.0,2.0,2017
Vogtlandkreis,Fachgymnasien,5.0,509.0,269.0,18.0,2017
"Zwickau, Landkreis",Fachgymnasien,3.0,621.0,346.0,5.0,2017
"Dresden, Stadt",Fachgymnasien,10.0,1629.0,969.0,39.0,2017
"Bautzen, Landkreis",Fachgymnasien,5.0,644.0,392.0,6.0,2017
"Görlitz, Landkreis",Fachgymnasien,2.0,470.0,261.0,12.0,2017
"Meißen, Landkreis",Fachgymnasien,4.0,609.0,320.0,10.0,2017
"Sächsische Schweiz-Osterzgebirge, Landkreis",Fachgymnasien,4.0,501.0,200.0,13.0,2017
"Leipzig, Stadt",Fachgymnasien,3.0,697.0,368.0,52.0,2017
"Leipzig, Landkreis",Fachgymnasien,3.0,493.0,256.0,5.0,2017
"Nordsachsen, Landkreis",Fachgymnasien,3.0,405.0,239.0,17.0,2017
"Halle (Saale), kreisfreie Stadt",Fachgymnasien,1.0,316.0,157.0,11.0,2017
"Magdeburg, Landeshauptstadt, kreisfreie Stadt",Fachgymnasien,1.0,318.0,151.0,11.0,2017
Burgenlandkreis,Fachgymnasien,1.0,171.0,85.0,5.0,2017
"Erfurt, kreisfreie Stadt",Fachgymnasien,3.0,577.0,346.0,32.0,2017
"Gera, kreisfreie Stadt",Fachgymnasien,1.0,79.0,48.0,4.0,2017
"Jena, kreisfreie Stadt",Fachgymnasien,3.0,172.0,90.0,6.0,2017
"Weimar, kreisfreie Stadt",Fachgymnasien,1.0,193.0,117.0,6.0,2017
"Eisenach, kreisfreie Stadt",Fachgymnasien,1.0,184.0,99.0,10.0,2017
"Nordhausen, Kreis",Fachgymnasien,1.0,225.0,111.0,6.0,2017
Unstrut-Hainich-Kreis,Fachgymnasien,1.0,158.0,88.0,5.0,2017
Kyffhäuserkreis,Fachgymnasien,1.0,108.0,59.0,2.0,2017
"Schmalkalden-Meiningen, Kreis",Fachgymnasien,2.0,434.0,242.0,3.0,2017
"Hildburghausen, Kreis",Fachgymnasien,2.0,234.0,123.0,6.0,2017
Ilm-Kreis,Fachgymnasien,1.0,106.0,61.0,2.0,2017
"Sonneberg, Kreis",Fachgymnasien,1.0,215.0,111.0,6.0,2017
"Saalfeld-Rudolstadt, Kreis",Fachgymnasien,1.0,139.0,96.0,5.0,2017
"Altenburger Land, Kreis",Fachgymnasien,1.0,23.0,4.0,4.0,2017
"Flensburg, kreisfreie Stadt",Fachgymnasien,3.0,618.0,351.0,24.0,2018
"Kiel, Landeshauptstadt, kreisfreie Stadt",Fachgymnasien,6.0,1383.0,744.0,57.0,2018
"Lübeck, Hansestadt, kreisfreie Stadt",Fachgymnasien,3.0,816.0,453.0,48.0,2018
"Neumünster, kreisfreie Stadt",Fachgymnasien,3.0,492.0,267.0,21.0,2018
"Herzogtum Lauenburg, Landkreis",Fachgymnasien,3.0,465.0,270.0,21.0,2018
"Nordfriesland, Landkreis",Fachgymnasien,3.0,690.0,414.0,12.0,2018
"Ostholstein, Landkreis",Fachgymnasien,3.0,735.0,450.0,15.0,2018
"Rendsburg-Eckernförde, Landkreis",Fachgymnasien,3.0,519.0,285.0,12.0,2018
"Segeberg, Landkreis",Fachgymnasien,3.0,762.0,432.0,27.0,2018
"Stormarn, Landkreis",Fachgymnasien,3.0,483.0,237.0,27.0,2018
Hamburg,Fachgymnasien,7.0,1171.0,524.0,171.0,2018
"Braunschweig, kreisfreie Stadt",Fachgymnasien,3.0,593.0,285.0,21.0,2018
"Salzgitter, kreisfreie Stadt",Fachgymnasien,2.0,355.0,197.0,42.0,2018
"Wolfsburg, kreisfreie Stadt",Fachgymnasien,2.0,204.0,83.0,6.0,2018
"Gifhorn, Landkreis",Fachgymnasien,1.0,285.0,152.0,16.0,2018
"Goslar, Landkreis",Fachgymnasien,2.0,409.0,224.0,18.0,2018
"Northeim, Landkreis",Fachgymnasien,2.0,425.0,202.0,11.0,2018
"Peine, Landkreis",Fachgymnasien,1.0,180.0,75.0,6.0,2018
"Wolfenbüttel, Landkreis",Fachgymnasien,1.0,43.0,22.0,2.0,2018
"Göttingen, Landkreis",Fachgymnasien,4.0,879.0,514.0,27.0,2018
"Region Hannover, Landkreis",Fachgymnasien,8.0,1451.0,695.0,91.0,2018
"Hannover, Landeshauptstadt",Fachgymnasien,5.0,786.0,416.0,56.0,2018
"Diepholz, Landkreis",Fachgymnasien,2.0,580.0,292.0,20.0,2018
"Hameln-Pyrmont, Landkreis",Fachgymnasien,3.0,590.0,331.0,20.0,2018
"Hildesheim, Landkreis",Fachgymnasien,5.0,836.0,418.0,20.0,2018
"Holzminden, Landkreis",Fachgymnasien,1.0,182.0,99.0,6.0,2018
"Nienburg (Weser), Landkreis",Fachgymnasien,1.0,300.0,172.0,8.0,2018
"Schaumburg, Landkreis",Fachgymnasien,2.0,318.0,140.0,12.0,2018
"Celle, Landkreis",Fachgymnasien,3.0,537.0,255.0,18.0,2018
"Cuxhaven, Landkreis",Fachgymnasien,2.0,524.0,280.0,21.0,2018
"Harburg, Landkreis",Fachgymnasien,2.0,630.0,344.0,17.0,2018
"Lüchow-Dannenberg, Landkreis",Fachgymnasien,1.0,180.0,85.0,7.0,2018
"Lüneburg, Landkreis",Fachgymnasien,3.0,573.0,307.0,14.0,2018
"Osterholz, Landkreis",Fachgymnasien,1.0,307.0,162.0,11.0,2018
"Rotenburg (Wümme), Landkreis",Fachgymnasien,3.0,1072.0,619.0,30.0,2018
"Heidekreis, Landkreis",Fachgymnasien,2.0,424.0,227.0,15.0,2018
"Stade, Landkreis",Fachgymnasien,3.0,575.0,328.0,23.0,2018
"Uelzen, Landkreis",Fachgymnasien,1.0,150.0,85.0,3.0,2018
"Verden, Landkreis",Fachgymnasien,1.0,339.0,183.0,13.0,2018
"Delmenhorst, kreisfreie Stadt",Fachgymnasien,2.0,440.0,224.0,17.0,2018
"Emden, kreisfreie Stadt",Fachgymnasien,2.0,300.0,136.0,11.0,2018
"Oldenburg (Oldenburg), kreisfreie Stadt",Fachgymnasien,3.0,743.0,348.0,13.0,2018
"Osnabrück, kreisfreie Stadt",Fachgymnasien,3.0,601.0,265.0,23.0,2018
"Wilhelmshaven, kreisfreie Stadt",Fachgymnasien,1.0,166.0,92.0,9.0,2018
"Ammerland, Landkreis",Fachgymnasien,1.0,197.0,109.0,4.0,2018
"Aurich, Landkreis",Fachgymnasien,3.0,699.0,391.0,13.0,2018
"Cloppenburg, Landkreis",Fachgymnasien,3.0,1018.0,544.0,28.0,2018
"Emsland, Landkreis",Fachgymnasien,5.0,1215.0,688.0,31.0,2018
"Friesland, Landkreis",Fachgymnasien,2.0,422.0,256.0,8.0,2018
"Grafschaft Bentheim, Landkreis",Fachgymnasien,3.0,435.0,225.0,29.0,2018
"Leer, Landkreis",Fachgymnasien,2.0,599.0,321.0,13.0,2018
"Oldenburg, Landkreis",Fachgymnasien,1.0,278.0,151.0,3.0,2018
"Vechta, Landkreis",Fachgymnasien,3.0,567.0,307.0,33.0,2018
"Wesermarsch, Landkreis",Fachgymnasien,1.0,219.0,113.0,2.0,2018
"Bremen, kreisfreie Stadt",Fachgymnasien,7.0,760.0,409.0,53.0,2018
"Bremerhaven, kreisfreie Stadt",Fachgymnasien,3.0,203.0,88.0,10.0,2018
"Düsseldorf, kreisfreie Stadt",Fachgymnasien,9.0,1795.0,967.0,131.0,2018
"Duisburg, kreisfreie Stadt",Fachgymnasien,5.0,538.0,302.0,68.0,2018
"Essen, kreisfreie Stadt",Fachgymnasien,8.0,961.0,471.0,79.0,2018
"Krefeld, kreisfreie Stadt",Fachgymnasien,3.0,906.0,470.0,51.0,2018
"Mönchengladbach, kreisfreie Stadt",Fachgymnasien,4.0,440.0,204.0,46.0,2018
"Mülheim an der Ruhr, kreisfreie Stadt",Fachgymnasien,1.0,107.0,46.0,10.0,2018
"Oberhausen, kreisfreie Stadt",Fachgymnasien,1.0,46.0,35.0,5.0,2018
"Remscheid, kreisfreie Stadt",Fachgymnasien,3.0,239.0,112.0,25.0,2018
"Solingen, kreisfreie Stadt",Fachgymnasien,3.0,228.0,108.0,19.0,2018
"Wuppertal, kreisfreie Stadt",Fachgymnasien,4.0,355.0,146.0,46.0,2018
"Kleve, Kreis",Fachgymnasien,3.0,884.0,515.0,32.0,2018
"Mettmann, Kreis",Fachgymnasien,4.0,780.0,421.0,41.0,2018
Rhein-Kreis Neuss,Fachgymnasien,4.0,505.0,282.0,22.0,2018
"Viersen, Kreis",Fachgymnasien,2.0,422.0,237.0,17.0,2018
"Wesel, Kreis",Fachgymnasien,4.0,1008.0,541.0,60.0,2018
"Bonn, kreisfreie Stadt",Fachgymnasien,4.0,570.0,306.0,39.0,2018
"Köln, kreisfreie Stadt",Fachgymnasien,11.0,1599.0,904.0,226.0,2018
"Leverkusen, kreisfreie Stadt",Fachgymnasien,3.0,533.0,269.0,45.0,2018
Städteregion Aachen (einschl. Stadt Aachen),Fachgymnasien,7.0,749.0,390.0,52.0,2018
"Aachen, krfr. Stadt",Fachgymnasien,4.0,491.0,264.0,27.0,2018
"Düren, Kreis",Fachgymnasien,4.0,475.0,237.0,20.0,2018
Rhein-Erft-Kreis,Fachgymnasien,5.0,731.0,341.0,55.0,2018
"Euskirchen, Kreis",Fachgymnasien,2.0,274.0,200.0,3.0,2018
"Heinsberg, Kreis",Fachgymnasien,3.0,330.0,192.0,13.0,2018
Oberbergischer Kreis,Fachgymnasien,3.0,292.0,169.0,11.0,2018
Rheinisch-Bergischer Kreis,Fachgymnasien,2.0,277.0,165.0,9.0,2018
Rhein-Sieg-Kreis,Fachgymnasien,5.0,679.0,396.0,27.0,2018
"Bottrop, kreisfreie Stadt",Fachgymnasien,1.0,203.0,97.0,3.0,2018
"Gelsenkirchen, kreisfreie Stadt",Fachgymnasien,3.0,433.0,238.0,59.0,2018
"Münster, kreisfreie Stadt",Fachgymnasien,5.0,1095.0,609.0,47.0,2018
"Borken, Kreis",Fachgymnasien,8.0,1435.0,852.0,41.0,2018
"Coesfeld, Kreis",Fachgymnasien,4.0,732.0,429.0,10.0,2018
"Recklinghausen, Kreis",Fachgymnasien,10.0,1900.0,1091.0,76.0,2018
"Steinfurt, Kreis",Fachgymnasien,9.0,2364.0,1298.0,59.0,2018
"Warendorf, Kreis",Fachgymnasien,4.0,602.0,331.0,27.0,2018
"Bielefeld, kreisfreie Stadt",Fachgymnasien,5.0,659.0,426.0,32.0,2018
"Gütersloh, Kreis",Fachgymnasien,5.0,689.0,378.0,30.0,2018
"Herford, Kreis",Fachgymnasien,6.0,781.0,431.0,39.0,2018
"Höxter, Kreis",Fachgymnasien,3.0,441.0,235.0,9.0,2018
"Lippe, Kreis",Fachgymnasien,6.0,852.0,494.0,30.0,2018
"Minden-Lübbecke, Kreis",Fachgymnasien,3.0,632.0,406.0,30.0,2018
"Paderborn, Kreis",Fachgymnasien,5.0,645.0,323.0,16.0,2018
"Bochum, kreisfreie Stadt",Fachgymnasien,3.0,499.0,256.0,30.0,2018
