Area,School_Type,Total_School,Total_People,Female,Foreigners,Year
"Mettmann, Kreis",Fachgymnasien,5.0,725.0,386.0,46.0,2012
Rhein-Kreis Neuss,Fachgymnasien,4.0,453.0,241.0,27.0,2012
"Viersen, Kreis",Fachgymnasien,2.0,224.0,151.0,10.0,2012
"Wesel, Kreis",Fachgymnasien,4.0,907.0,455.0,51.0,2012
"Bonn, kreisfreie Stadt",Fachgymnasien,4.0,546.0,266.0,24.0,2012
"Köln, kreisfreie Stadt",Fachgymnasien,10.0,1257.0,702.0,175.0,2012
"Leverkusen, kreisfreie Stadt",Fachgymnasien,2.0,378.0,218.0,27.0,2012
Städteregion Aachen (einschl. Stadt Aachen),Fachgymnasien,5.0,591.0,225.0,31.0,2012
"Aachen, krfr. Stadt",Fachgymnasien,3.0,377.0,143.0,22.0,2012
"Düren, Kreis",Fachgymnasien,4.0,362.0,187.0,20.0,2012
Rhein-Erft-Kreis,Fachgymnasien,5.0,690.0,351.0,30.0,2012
"Euskirchen, Kreis",Fachgymnasien,2.0,226.0,136.0,4.0,2012
"Heinsberg, Kreis",Fachgymnasien,3.0,310.0,172.0,15.0,2012
Oberbergischer Kreis,Fachgymnasien,2.0,198.0,116.0,5.0,2012
Rheinisch-Bergischer Kreis,Fachgymnasien,2.0,223.0,120.0,9.0,2012
Rhein-Sieg-Kreis,Fachgymnasien,4.0,458.0,255.0,25.0,2012
"Bottrop, kreisfreie Stadt",Fachgymnasien,1.0,173.0,79.0,3.0,2012
"Gelsenkirchen, kreisfreie Stadt",Fachgymnasien,4.0,410.0,188.0,47.0,2012
"Münster, kreisfreie Stadt",Fachgymnasien,6.0,1201.0,592.0,31.0,2012
"Borken, Kreis",Fachgymnasien,7.0,1244.0,677.0,19.0,2012
"Coesfeld, Kreis",Fachgymnasien,4.0,806.0,458.0,12.0,2012
"Recklinghausen, Kreis",Fachgymnasien,9.0,1909.0,1074.0,84.0,2012
"Steinfurt, Kreis",Fachgymnasien,9.0,2324.0,1203.0,46.0,2012
"Warendorf, Kreis",Fachgymnasien,4.0,400.0,166.0,14.0,2012
"Bielefeld, kreisfreie Stadt",Fachgymnasien,5.0,633.0,404.0,45.0,2012
"Gütersloh, Kreis",Fachgymnasien,5.0,511.0,253.0,26.0,2012
"Herford, Kreis",Fachgymnasien,5.0,727.0,396.0,32.0,2012
"Höxter, Kreis",Fachgymnasien,4.0,413.0,212.0,16.0,2012
"Lippe, Kreis",Fachgymnasien,5.0,766.0,394.0,41.0,2012
"Minden-Lübbecke, Kreis",Fachgymnasien,3.0,547.0,322.0,20.0,2012
"Paderborn, Kreis",Fachgymnasien,4.0,591.0,324.0,14.0,2012
"Bochum, kreisfreie Stadt",Fachgymnasien,3.0,578.0,300.0,33.0,2012
"Dortmund, kreisfreie Stadt",Fachgymnasien,7.0,869.0,396.0,68.0,2012
"Hagen, kreisfreie Stadt",Fachgymnasien,3.0,340.0,167.0,27.0,2012
"Hamm, kreisfreie Stadt",Fachgymnasien,4.0,515.0,314.0,14.0,2012
"Herne, kreisfreie Stadt",Fachgymnasien,2.0,288.0,162.0,27.0,2012
Ennepe-Ruhr-Kreis,Fachgymnasien,2.0,297.0,156.0,27.0,2012
Hochsauerlandkreis,Fachgymnasien,5.0,616.0,427.0,27.0,2012
Märkischer Kreis,Fachgymnasien,6.0,907.0,494.0,72.0,2012
"Olpe, Kreis",Fachgymnasien,1.0,148.0,86.0,3.0,2012
"Siegen-Wittgenstein, Kreis",Fachgymnasien,3.0,449.0,231.0,28.0,2012
"Soest, Kreis",Fachgymnasien,6.0,747.0,425.0,22.0,2012
"Unna, Kreis",Fachgymnasien,5.0,660.0,285.0,27.0,2012
"Darmstadt, kreisfreie Stadt",Fachgymnasien,1.0,377.0,137.0,25.0,2012
"Frankfurt am Main, kreisfreie Stadt",Fachgymnasien,3.0,538.0,202.0,117.0,2012
"Offenbach am Main, kreisfreie Stadt",Fachgymnasien,2.0,393.0,113.0,106.0,2012
"Wiesbaden, Landeshauptstadt, kreisfreie Stadt",Fachgymnasien,2.0,733.0,365.0,71.0,2012
"Bergstraße, Landkreis",Fachgymnasien,1.0,657.0,304.0,48.0,2012
"Darmstadt-Dieburg, Landkreis",Fachgymnasien,1.0,398.0,178.0,44.0,2012
"Groß-Gerau, Landkreis",Fachgymnasien,2.0,450.0,185.0,74.0,2012
Hochtaunuskreis,Fachgymnasien,3.0,548.0,237.0,40.0,2012
Main-Kinzig-Kreis,Fachgymnasien,4.0,1846.0,874.0,139.0,2012
Main-Taunus-Kreis,Fachgymnasien,1.0,361.0,108.0,17.0,2012
Odenwaldkreis,Fachgymnasien,1.0,282.0,122.0,20.0,2012
"Offenbach, Landkreis",Fachgymnasien,3.0,1006.0,554.0,124.0,2012
Wetteraukreis,Fachgymnasien,1.0,267.0,44.0,12.0,2012
"Gießen, Landkreis",Fachgymnasien,3.0,561.0,269.0,31.0,2012
Lahn-Dill-Kreis,Fachgymnasien,3.0,1083.0,475.0,97.0,2012
"Limburg-Weilburg, Landkreis",Fachgymnasien,3.0,1216.0,612.0,58.0,2012
"Marburg-Biedenkopf, Landkreis",Fachgymnasien,3.0,576.0,274.0,36.0,2012
Vogelsbergkreis,Fachgymnasien,2.0,417.0,231.0,12.0,2012
"Kassel, kreisfreie Stadt",Fachgymnasien,3.0,1376.0,715.0,167.0,2012
"Fulda, Landkreis",Fachgymnasien,4.0,845.0,396.0,28.0,2012
"Hersfeld-Rotenburg, Landkreis",Fachgymnasien,1.0,216.0,68.0,5.0,2012
"Waldeck-Frankenberg, Landkreis",Fachgymnasien,1.0,339.0,191.0,8.0,2012
Werra-Meißner-Kreis,Fachgymnasien,2.0,549.0,251.0,12.0,2012
"Koblenz, kreisfreie Stadt",Fachgymnasien,3.0,864.0,475.0,36.0,2012
"Ahrweiler, Landkreis",Fachgymnasien,1.0,157.0,49.0,5.0,2012
"Altenkirchen (Westerwald), Landkreis",Fachgymnasien,2.0,221.0,91.0,11.0,2012
"Bad Kreuznach, Landkreis",Fachgymnasien,2.0,351.0,145.0,55.0,2012
"Birkenfeld, Landkreis",Fachgymnasien,2.0,291.0,124.0,9.0,2012
"Mayen-Koblenz, Landkreis",Fachgymnasien,2.0,417.0,198.0,14.0,2012
"Neuwied, Landkreis",Fachgymnasien,2.0,560.0,257.0,44.0,2012
Rhein-Hunsrück-Kreis,Fachgymnasien,1.0,204.0,95.0,9.0,2012
Rhein-Lahn-Kreis,Fachgymnasien,1.0,304.0,126.0,23.0,2012
Westerwaldkreis,Fachgymnasien,2.0,659.0,355.0,39.0,2012
"Trier, kreisfreie Stadt",Fachgymnasien,4.0,931.0,489.0,33.0,2012
"Bernkastel-Wittlich, Landkreis",Fachgymnasien,1.0,211.0,51.0,6.0,2012
Eifelkreis Bitburg-Prüm,Fachgymnasien,1.0,153.0,119.0,2.0,2012
"Trier-Saarburg, Landkreis",Fachgymnasien,1.0,95.0,35.0,4.0,2012
"Kaiserslautern, kreisfreie Stadt",Fachgymnasien,2.0,585.0,288.0,30.0,2012
"Landau in der Pfalz, kreisfreie Stadt",Fachgymnasien,1.0,426.0,261.0,18.0,2012
"Ludwigshafen am Rhein, kreisfreie Stadt",Fachgymnasien,3.0,733.0,339.0,100.0,2012
"Mainz, kreisfreie Stadt",Fachgymnasien,3.0,980.0,448.0,140.0,2012
"Neustadt an der Weinstraße, kreisfreie Stadt",Fachgymnasien,1.0,295.0,64.0,15.0,2012
"Pirmasens, kreisfreie Stadt",Fachgymnasien,1.0,332.0,156.0,12.0,2012
Donnersbergkreis,Fachgymnasien,1.0,161.0,82.0,10.0,2012
"Germersheim, Landkreis",Fachgymnasien,1.0,145.0,73.0,25.0,2012
"Kusel, Landkreis",Fachgymnasien,1.0,197.0,79.0,3.0,2012
"Stuttgart, Landeshauptstadt, Stadtkreis",Fachgymnasien,16.0,2728.0,1473.0,467.0,2012
"Böblingen, Landkreis",Fachgymnasien,8.0,1857.0,1018.0,183.0,2012
"Esslingen, Landkreis",Fachgymnasien,9.0,1928.0,1101.0,188.0,2012
"Göppingen, Landkreis",Fachgymnasien,6.0,1287.0,751.0,121.0,2012
"Ludwigsburg, Landkreis",Fachgymnasien,7.0,1868.0,1090.0,251.0,2012
"Rems-Murr-Kreis, Landkreis",Fachgymnasien,11.0,1981.0,1017.0,225.0,2012
"Heilbronn, Universitätsstadt, Stadtkreis",Fachgymnasien,9.0,1740.0,1011.0,249.0,2012
"Heilbronn, Landkreis",Fachgymnasien,1.0,62.0,14.0,12.0,2012
"Hohenlohekreis, Landkreis",Fachgymnasien,3.0,1111.0,619.0,47.0,2012
"Schwäbisch Hall, Landkreis",Fachgymnasien,6.0,1255.0,754.0,67.0,2012
"Main-Tauber-Kreis, Landkreis",Fachgymnasien,6.0,1195.0,628.0,42.0,2012
"Heidenheim, Landkreis",Fachgymnasien,4.0,636.0,347.0,34.0,2012
"Ostalbkreis, Landkreis",Fachgymnasien,10.0,2003.0,1171.0,132.0,2012
"Baden-Baden, Stadtkreis",Fachgymnasien,3.0,249.0,121.0,18.0,2012
"Karlsruhe, Stadtkreis",Fachgymnasien,7.0,1200.0,652.0,127.0,2012
"Karlsruhe, Landkreis",Fachgymnasien,7.0,2196.0,1077.0,138.0,2012
"Rastatt, Landkreis",Fachgymnasien,5.0,1351.0,702.0,79.0,2012
"Heidelberg, Stadtkreis",Fachgymnasien,4.0,1207.0,619.0,91.0,2012
"Mannheim, Stadtkreis",Fachgymnasien,7.0,1363.0,766.0,269.0,2012
"Neckar-Odenwald-Kreis, Landkreis",Fachgymnasien,6.0,1059.0,550.0,39.0,2012
"Rhein-Neckar-Kreis, Landkreis",Fachgymnasien,12.0,2355.0,1183.0,189.0,2012
"Pforzheim, Stadtkreis",Fachgymnasien,4.0,1589.0,914.0,162.0,2012
"Calw, Landkreis",Fachgymnasien,4.0,776.0,424.0,54.0,2012
"Enzkreis, Landkreis",Fachgymnasien,3.0,98.0,48.0,9.0,2012
"Freudenstadt, Landkreis",Fachgymnasien,4.0,965.0,514.0,53.0,2012
"Freiburg im Breisgau, Stadtkreis",Fachgymnasien,9.0,2317.0,1313.0,114.0,2012
"Breisgau-Hochschwarzwald, Landkreis",Fachgymnasien,3.0,680.0,324.0,42.0,2012
"Emmendingen, Landkreis",Fachgymnasien,3.0,702.0,327.0,23.0,2012
"Ortenaukreis, Landkreis",Fachgymnasien,12.0,2668.0,1485.0,118.0,2012
"Rottweil, Landkreis",Fachgymnasien,4.0,857.0,424.0,38.0,2012
"Schwarzwald-Baar-Kreis, Landkreis",Fachgymnasien,8.0,1580.0,890.0,114.0,2012
"Tuttlingen, Landkreis",Fachgymnasien,2.0,561.0,283.0,42.0,2012
"Konstanz, Landkreis",Fachgymnasien,8.0,1892.0,1001.0,174.0,2012
"Lörrach, Landkreis",Fachgymnasien,5.0,968.0,474.0,132.0,2012
"Waldshut, Landkreis",Fachgymnasien,5.0,917.0,508.0,70.0,2012
"Reutlingen, Landkreis",Fachgymnasien,6.0,1274.0,702.0,105.0,2012
"Tübingen, Landkreis",Fachgymnasien,6.0,1321.0,679.0,104.0,2012
"Zollernalbkreis, Landkreis",Fachgymnasien,5.0,1175.0,622.0,85.0,2012
"Ulm, Stadtkreis",Fachgymnasien,6.0,1672.0,968.0,141.0,2012
"Alb-Donau-Kreis, Landkreis",Fachgymnasien,3.0,562.0,322.0,24.0,2012
"Biberach, Landkreis",Fachgymnasien,5.0,1036.0,600.0,24.0,2012
"Bodenseekreis, Landkreis",Fachgymnasien,7.0,1735.0,952.0,86.0,2012
"Ravensburg, Landkreis",Fachgymnasien,8.0,2658.0,1472.0,94.0,2012
"Sigmaringen, Landkreis",Fachgymnasien,4.0,901.0,450.0,31.0,2012
"Saarbrücken, Regionalverband",Fachgymnasien,2.0,416.0,174.0,46.0,2012
"Saarbrücken, Landeshauptstadt",Fachgymnasien,1.0,264.0,136.0,38.0,2012
"Neunkirchen, Landkreis",Fachgymnasien,1.0,177.0,106.0,10.0,2012
"Saarlouis, Landkreis",Fachgymnasien,2.0,273.0,201.0,13.0,2012
Saarpfalz-Kreis,Fachgymnasien,2.0,327.0,196.0,22.0,2012
"St. Wendel, Landkreis",Fachgymnasien,1.0,226.0,148.0,1.0,2012
Berlin,Fachgymnasien,20.0,3272.0,1530.0,352.0,2012
"Brandenburg an der Havel, kreisfreie Stadt",Fachgymnasien,1.0,211.0,119.0,1.0,2012
"Cottbus, kreisfreie Stadt",Fachgymnasien,1.0,238.0,147.0,3.0,2012
"Frankfurt (Oder), kreisfreie Stadt",Fachgymnasien,1.0,226.0,108.0,7.0,2012
