district,total_infection,infection_incidence_rlp,infection_incidence_yr_0_11,infection_incidence_days_yr_12_19,infection_incidence_yr_20_59,infection_incidence_yr_60_above,hospitalized,total_covid19,covid19_incidence_rlp,covid19_incidence_yr_0_11,covid19_incidence_days_yr_12_19,covid19_incidence_yr_20_59,covid19_incidence_yr_60_above,deceased,Week_Number
Trier-Saarburg,1572,1044.289306640625,2046.5772705078125,1940.7381591796875,1135.7999267578125,246.7484588623047,9,2,1.3273426294326782,0,8.664010047912598,1.2718924283981323,0,3,2022KW05
KS Trier,1448,1308.3470458984375,2555.647216796875,2519.197021484375,1359.6845703125,333.87103271484375,10,2,1.8062279224395752,9.160025596618652,0,1.5226030349731445,0,0,2022KW05
Vulkaneifel,453,748.8717041015625,1456.06689453125,1158.74853515625,900.9910888671875,227.34011840820312,2,0,0,0,0,0,0,1,2022KW05
VG Westpfalz,5311,1019.9437255859375,1838.4071044921875,1963.57958984375,1172.17333984375,280.2491760253906,7,2,0.3634031116962433,0,0,0,1.2237955331802368,14,2022KW05
Donnersbergkreis,567,750.6056518554688,1164.072998046875,1507.96337890625,898.7056274414062,171.6001739501953,3,0,0,0,0,0,0,3,2022KW05
Kaiserslautern,1496,1407.072998046875,2301.06201171875,2236.81005859375,1655.9111328125,427.78759765625,1,1,0.8081918358802795,0,0,0,3.099910020828247,1,2022KW05
KS Kaiserslautern,1254,1258.2529296875,2360.224365234375,2055.822265625,1390.59228515625,374.779541015625,0,0,0,0,0,0,0,5,2022KW05
Kusel,361,514.94189453125,903.817626953125,903.8619384765625,614.264892578125,166.14126586914062,3,1,1.3536012172698975,0,0,0,4.2600321769714355,0,2022KW05
KS Pirmasens,424,1055.3564453125,2169.720458984375,2692.031494140625,1210.02587890625,154.71893310546875,0,0,0,0,0,0,0,0,2022KW05
Südwestpfalz,779,820.76025390625,1594.4578857421875,1682.9620361328125,944.62890625,267.5260009765625,0,0,0,0,0,0,0,4,2022KW05
KS Zweibrücken,430,1264.668701171875,2372.784423828125,3852.327392578125,1276.6448974609375,280.37384033203125,0,0,0,0,0,0,0,1,2022KW05
Rheinland-Pfalz,46906,1144.4979248046875,1856.779296875,2017.7794189453125,1308.5899658203125,379.6335754394531,258,92,2.2243521213531494,2.0006000995635986,1.0007171630859375,1.173454999923706,4.514561653137207,99,2022KW06
VG Mittelrhein-Westerwald,14095,1117.53857421875,1880.33935546875,1939.33154296875,1284.3258056640625,368.0755615234375,53,14,1.1099544763565063,1.4615930318832397,1.0726391077041626,0.9288759827613831,1.2978686094284058,27,2022KW06
Ahrweiler,1568,1201.7259521484375,2253.725830078125,2108.300048828125,1382.4671630859375,399.2715148925781,5,0,0,0,0,0,0,0,2022KW06
Altenkirchen,1430,1107.780029296875,1729.81298828125,2011.0814208984375,1251.5987548828125,418.9305725097656,10,4,3.0986852645874023,7.003291606903076,10.2606201171875,0,5.077946662902832,2,2022KW06
Cochem-Zell,569,924.0313110351562,1911.4688720703125,1592.2158203125,1060.6357421875,283.61859130859375,0,0,0,0,0,0,0,1,2022KW06
KS Koblenz,1205,1062.72265625,1862.278076171875,1987.2921142578125,1117.2647705078125,453.5218200683594,5,2,1.763792872428894,0,0,1.6006659269332886,3.127736806869507,3,2022KW06
Mayen-Koblenz,2119,986.5633544921875,1465.3096923828125,1791.1943359375,1132.72119140625,363.2373046875,4,1,0.46557968854904175,0,0,0,1.545690655708313,3,2022KW06
Neuwied,2585,1411.557861328125,1995.5760498046875,2339.099365234375,1752.927001953125,384.00518798828125,3,1,0.5460571646690369,4.808617115020752,0,0,0,8,2022KW06
Rhein-Hunsrück,985,952.6019897460938,1664.41748046875,1503.36962890625,1129.5093994140625,295.2756042480469,1,0,0,0,0,0,0,1,2022KW06
Rhein-Lahn,1363,1111.9813232421875,2269.947998046875,2000,1235.6260986328125,319.9256896972656,11,3,2.4474213123321533,0,0,3.234623432159424,2.5800459384918213,4,2022KW06
Westerwaldkreis,2271,1119.6568603515625,1958.6170654296875,1842.054931640625,1260.595947265625,356.5634765625,14,3,1.4790711402893066,0,0,2.847731828689575,0,5,2022KW06
VG Rheinhessen-Nahe,12190,1381.4627685546875,2431.716552734375,2372.1298828125,1513.499755859375,464.8497314453125,93,37,4.179860591888428,5.112945079803467,3.100823163986206,2.1251049041748047,8.014650344848633,20,2022KW06
Alzey-Worms,1833,1402.2874755859375,2399.894775390625,2303.550048828125,1575.1514892578125,448.5733337402344,18,1,0.7648183703422546,0,0,1.4748610258102417,0,5,2022KW06
Bad Kreuznach,2323,1463.343994140625,2722.858154296875,2667.11962890625,1627.3955078125,485.0299377441406,13,5,3.149388074874878,0,0,0,9.980039596557617,1,2022KW06
Birkenfeld,928,1148.088623046875,1985.1405029296875,1810.7276611328125,1359.79052734375,416.51031494140625,1,0,0,0,0,0,0,1,2022KW06
Mainz-Bingen,2570,1214.9864501953125,2202.1572265625,2051.31298828125,1297.4993896484375,449.5846252441406,13,9,4.252122402191162,12.256904602050781,0,1.832626223564148,6.515718936920166,3,2022KW06
KS Mainz,3017,1389.534912109375,2628.056396484375,2379.4072265625,1438.904052734375,439.9088439941406,31,18,8.283478736877441,4.46189546585083,14.420650482177734,3.8350322246551514,19.81571388244629,7,2022KW06
KS Worms,1519,1820.0552978515625,2484.154541015625,3256.31884765625,2108.495361328125,597.515380859375,17,4,4.79277229309082,10.222858428955078,0,4.549073219299316,4.298671722412109,3,2022KW06
VG Rheinpfalz,9124,1014.2443237304688,1308.162353515625,1881.2677001953125,1203.6241455078125,354.42181396484375,46,21,2.3342204093933105,1.958326816558838,0,0.6441085338592529,6.019903182983398,29,2022KW06
Bad Dürkheim,1155,868.3949584960938,1210.9346923828125,1795.8310546875,1043.417724609375,298.9161376953125,5,0,0,0,0,0,0,2,2022KW06
KS Frankenthal,456,935.3846435546875,823.8387451171875,1480.860595703125,1230.595947265625,342.46575927734375,1,1,2.0512821674346924,0,0,0,6.849315166473389,1,2022KW06
Germersheim,1944,1506.9066162109375,2175.528564453125,3033.377197265625,1666.985107421875,520.360107421875,8,7,5.425347328186035,0,0,4.410013675689697,11.01291275024414,5,2022KW06
KS Landau i.d.Pf.,416,891.0784912109375,1370.716552734375,1561.065185546875,1023.2805786132812,243.60536193847656,4,1,2.1419239044189453,0,0,0,8.12017822265625,1,2022KW06
KS Ludwigshafen,1885,1092.3927001953125,1042.6583251953125,2017.72021484375,1262.5806884765625,456.0897216796875,8,6,3.4769909381866455,9.066594123840332,0,0,9.307953834533691,6,2022KW06
KS Neustadt a.d.W.,554,1039.2825927734375,1616.5478515625,2024.18505859375,1194.55224609375,400.8475036621094,3,0,0,0,0,0,0,1,2022KW06
Rhein-Pfalz-Kreis,1309,845.8585815429688,967.6527709960938,1533.157958984375,1075.72265625,261.2396240234375,5,2,1.2923402786254883,0,0,0,4.213542461395264,7,2022KW06
KS Speyer,491,967.6593017578125,1203.4808349609375,1372.07421875,1187.9296875,414.42724609375,3,2,3.941197395324707,0,0,0,12.950851440429688,1,2022KW06
Südliche Weinstr.,914,825.0363159179688,1459.2933349609375,1281.725830078125,992.70703125,248.74215698242188,9,2,1.8053311109542847,0,0,0,5.653230667114258,5,2022KW06
VG Trier,5502,1029.49267578125,1668.9000244140625,1709.0946044921875,1186.3475341796875,331.2181091308594,31,7,1.2974616289138794,0,0,0,4.537234306335449,9,2022KW06
Bernkastel-Wittlich,1021,906.0655517578125,1293.5975341796875,1774.6444091796875,1124.52197265625,215.6517791748047,5,2,1.749536395072937,0,0,0,5.675046920776367,5,2022KW06
Bitburg-Prüm,871,870.521240234375,1250.770751953125,1192.86962890625,1031.2816162109375,343.9649658203125,0,0,0,0,0,0,0,0,2022KW06
Trier-Saarburg,1637,1087.46923828125,2075.982177734375,1724.137939453125,1205.7540283203125,315.9302673339844,14,4,2.6546852588653564,0,0,0,9.224241256713867,2,2022KW06
KS Trier,1411,1274.91552734375,1951.08544921875,2155.462646484375,1405.362548828125,431.4063720703125,11,1,0.9031139612197876,0,0,0,3.7513599395751953,2,2022KW06
Vulkaneifel,562,929.0638427734375,1556.4853515625,1668.597900390625,1044.4822998046875,415.142822265625,1,0,0,0,0,0,0,0,2022KW06
VG Westpfalz,5995,1151.3016357421875,1989.361328125,2165.3173828125,1319.26220703125,363.4672546386719,35,13,2.3621203899383545,0,0,2.2687225341796875,4.2832841873168945,14,2022KW06
Donnersbergkreis,726,961.0929565429688,1396.8876953125,1558.7935791015625,1179.0599365234375,300.30029296875,1,0,0,0,0,0,0,1,2022KW06
Kaiserslautern,1738,1634.687744140625,3093.735595703125,2747.38623046875,1869.76025390625,378.18902587890625,8,7,5.657342910766602,0,0,9.462348937988281,6.199820041656494,2,2022KW06
KS Kaiserslautern,1443,1447.8939208984375,2360.224365234375,2821.12841796875,1540.29296875,576.8665771484375,6,3,2.8258166313171387,0,0,1.8036216497421265,7.348618507385254,4,2022KW06
Kusel,408,581.9841918945312,849.8583374023438,1170.912109375,675.4002685546875,238.5618133544922,5,2,2.707202434539795,0,0,0,8.520064353942871,3,2022KW06
KS Pirmasens,407,1013.0426025390625,1687.560302734375,2476.6689453125,1225.2783203125,198.92433166503906,1,0,0,0,0,0,0,0,2022KW06
Südwestpfalz,906,954.5684204101562,1660.4354248046875,1747.0748291015625,1113.84814453125,383.048583984375,6,0,0,0,0,0,0,3,2022KW06
KS Zweibrücken,367,1079.3800048828125,1801.0291748046875,2568.21826171875,1178.44140625,336.4486083984375,8,1,2.9394474029541016,0,0,0,9.345794677734375,1,2022KW06
Rheinland-Pfalz,46906,1144.4979248046875,1856.779296875,2017.7794189453125,1308.5899658203125,379.6335754394531,258,92,2.2243521213531494,2.0006000995635986,1.0007171630859375,1.173454999923706,4.514561653137207,99,2022KW07
VG Mittelrhein-Westerwald,14095,1117.53857421875,1880.33935546875,1939.33154296875,1284.3258056640625,368.0755615234375,53,14,1.1099544763565063,1.4615930318832397,1.0726391077041626,0.9288759827613831,1.2978686094284058,27,2022KW07
Ahrweiler,1568,1201.7259521484375,2253.725830078125,2108.300048828125,1382.4671630859375,399.2715148925781,5,0,0,0,0,0,0,0,2022KW07
Altenkirchen,1430,1107.780029296875,1729.81298828125,2011.0814208984375,1251.5987548828125,418.9305725097656,10,4,3.0986852645874023,7.003291606903076,10.2606201171875,0,5.077946662902832,2,2022KW07
Cochem-Zell,569,924.0313110351562,1911.4688720703125,1592.2158203125,1060.6357421875,283.61859130859375,0,0,0,0,0,0,0,1,2022KW07
KS Koblenz,1205,1062.72265625,1862.278076171875,1987.2921142578125,1117.2647705078125,453.5218200683594,5,2,1.763792872428894,0,0,1.6006659269332886,3.127736806869507,3,2022KW07
Mayen-Koblenz,2119,986.5633544921875,1465.3096923828125,1791.1943359375,1132.72119140625,363.2373046875,4,1,0.46557968854904175,0,0,0,1.545690655708313,3,2022KW07
Neuwied,2585,1411.557861328125,1995.5760498046875,2339.099365234375,1752.927001953125,384.00518798828125,3,1,0.5460571646690369,4.808617115020752,0,0,0,8,2022KW07
Rhein-Hunsrück,985,952.6019897460938,1664.41748046875,1503.36962890625,1129.5093994140625,295.2756042480469,1,0,0,0,0,0,0,1,2022KW07
Rhein-Lahn,1363,1111.9813232421875,2269.947998046875,2000,1235.6260986328125,319.9256896972656,11,3,2.4474213123321533,0,0,3.234623432159424,2.5800459384918213,4,2022KW07
Westerwaldkreis,2271,1119.6568603515625,1958.6170654296875,1842.054931640625,1260.595947265625,356.5634765625,14,3,1.4790711402893066,0,0,2.847731828689575,0,5,2022KW07
VG Rheinhessen-Nahe,12190,1381.4627685546875,2431.716552734375,2372.1298828125,1513.499755859375,464.8497314453125,93,37,4.179860591888428,5.112945079803467,3.100823163986206,2.1251049041748047,8.014650344848633,20,2022KW07
Alzey-Worms,1833,1402.2874755859375,2399.894775390625,2303.550048828125,1575.1514892578125,448.5733337402344,18,1,0.7648183703422546,0,0,1.4748610258102417,0,5,2022KW07
Bad Kreuznach,2323,1463.343994140625,2722.858154296875,2667.11962890625,1627.3955078125,485.0299377441406,13,5,3.149388074874878,0,0,0,9.980039596557617,1,2022KW07
Birkenfeld,928,1148.088623046875,1985.1405029296875,1810.7276611328125,1359.79052734375,416.51031494140625,1,0,0,0,0,0,0,1,2022KW07
Mainz-Bingen,2570,1214.9864501953125,2202.1572265625,2051.31298828125,1297.4993896484375,449.5846252441406,13,9,4.252122402191162,12.256904602050781,0,1.832626223564148,6.515718936920166,3,2022KW07
KS Mainz,3017,1389.534912109375,2628.056396484375,2379.4072265625,1438.904052734375,439.9088439941406,31,18,8.283478736877441,4.46189546585083,14.420650482177734,3.8350322246551514,19.81571388244629,7,2022KW07
KS Worms,1519,1820.0552978515625,2484.154541015625,3256.31884765625,2108.495361328125,597.515380859375,17,4,4.79277229309082,10.222858428955078,0,4.549073219299316,4.298671722412109,3,2022KW07
