City,Total_Death,Under 1 Year,1 to under 15 years,15 to under 25 years,25 to under 30 years,30 to under 35 years,35 to under 40 years,40 to under 45 years,45 to under 50 years,50 to under 55 years,55 to under 60 years,60 to under 65 years,65 to under 70 years,70 to under 75 years,75 to under 80 years,80 to under 85 years,85 year and Above ,Year
"Mainz, kreisfreie Stadt",1845.0,6.0,0.0,7.0,5.0,9.0,7.0,14.0,29.0,49.0,80.0,87.0,114.0,192.0,212.0,307.0,727.0,2013
"Neustadt an der Weinstraße, kreisfreie Stadt",625.0,0.0,1.0,1.0,1.0,1.0,3.0,8.0,12.0,10.0,14.0,27.0,38.0,76.0,80.0,104.0,249.0,2013
"Pirmasens, kreisfreie Stadt",714.0,2.0,0.0,2.0,4.0,1.0,3.0,6.0,17.0,21.0,31.0,42.0,47.0,73.0,99.0,129.0,237.0,2013
"Speyer, kreisfreie Stadt",640.0,0.0,0.0,1.0,3.0,1.0,2.0,2.0,8.0,18.0,28.0,36.0,34.0,64.0,83.0,112.0,248.0,2013
"Worms, kreisfreie Stadt",918.0,2.0,2.0,2.0,1.0,2.0,3.0,9.0,14.0,15.0,38.0,48.0,49.0,80.0,129.0,182.0,342.0,2013
"Zweibrücken, kreisfreie Stadt",382.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,6.0,14.0,13.0,20.0,20.0,40.0,55.0,70.0,138.0,2013
"Alzey-Worms, Landkreis",1316.0,2.0,1.0,5.0,3.0,2.0,3.0,11.0,16.0,35.0,43.0,72.0,83.0,146.0,184.0,251.0,459.0,2013
"Bad Dürkheim, Landkreis",1627.0,3.0,0.0,4.0,3.0,1.0,6.0,5.0,28.0,43.0,57.0,93.0,91.0,174.0,231.0,297.0,591.0,2013
Donnersbergkreis,880.0,3.0,0.0,2.0,0.0,5.0,1.0,12.0,20.0,26.0,47.0,47.0,63.0,92.0,108.0,144.0,310.0,2013
"Germersheim, Landkreis",1197.0,4.0,4.0,2.0,1.0,5.0,6.0,8.0,20.0,51.0,46.0,68.0,72.0,127.0,183.0,227.0,373.0,2013
"Kaiserslautern, Landkreis",1187.0,1.0,0.0,4.0,2.0,3.0,4.0,6.0,20.0,36.0,48.0,52.0,69.0,122.0,171.0,226.0,423.0,2013
"Kusel, Landkreis",985.0,3.0,0.0,1.0,2.0,5.0,3.0,7.0,16.0,27.0,38.0,53.0,40.0,90.0,138.0,212.0,350.0,2013
"Südliche Weinstraße, Landkreis",1177.0,1.0,2.0,1.0,1.0,1.0,1.0,8.0,21.0,35.0,44.0,75.0,59.0,119.0,152.0,232.0,425.0,2013
Rhein-Pfalz-Kreis,1541.0,2.0,2.0,3.0,2.0,4.0,3.0,14.0,24.0,39.0,53.0,81.0,59.0,166.0,258.0,285.0,546.0,2013
"Mainz-Bingen, Landkreis",1929.0,7.0,6.0,4.0,4.0,6.0,8.0,16.0,31.0,46.0,78.0,93.0,128.0,208.0,289.0,336.0,669.0,2013
"Südwestpfalz, Landkreis",1156.0,0.0,1.0,2.0,0.0,4.0,3.0,9.0,14.0,25.0,48.0,61.0,54.0,108.0,212.0,237.0,378.0,2013
"Stuttgart, Landeshauptstadt, Stadtkreis",5239.0,12.0,7.0,14.0,17.0,15.0,29.0,34.0,86.0,135.0,166.0,245.0,370.0,509.0,720.0,794.0,2086.0,2013
"Böblingen, Landkreis",3239.0,10.0,4.0,5.0,7.0,9.0,9.0,29.0,55.0,79.0,111.0,144.0,167.0,364.0,499.0,550.0,1197.0,2013
"Esslingen, Landkreis",4569.0,11.0,9.0,16.0,7.0,9.0,17.0,36.0,60.0,135.0,155.0,211.0,303.0,499.0,623.0,806.0,1672.0,2013
"Göppingen, Landkreis",2691.0,7.0,5.0,13.0,5.0,7.0,5.0,17.0,43.0,58.0,61.0,108.0,161.0,279.0,396.0,480.0,1046.0,2013
"Ludwigsburg, Landkreis",4459.0,12.0,3.0,16.0,8.0,17.0,17.0,30.0,70.0,104.0,156.0,208.0,253.0,459.0,632.0,793.0,1681.0,2013
"Rems-Murr-Kreis, Landkreis",4016.0,12.0,11.0,18.0,9.0,10.0,17.0,26.0,69.0,94.0,134.0,173.0,234.0,432.0,575.0,793.0,1409.0,2013
"Heilbronn, Universitätsstadt, Stadtkreis",1238.0,5.0,0.0,5.0,3.0,3.0,8.0,15.0,12.0,38.0,56.0,58.0,82.0,115.0,165.0,201.0,472.0,2013
"Heilbronn, Landkreis",3013.0,7.0,3.0,12.0,5.0,11.0,17.0,15.0,40.0,74.0,127.0,145.0,173.0,302.0,442.0,498.0,1142.0,2013
"Hohenlohekreis, Landkreis",1087.0,2.0,1.0,6.0,5.0,3.0,4.0,10.0,21.0,27.0,28.0,48.0,51.0,100.0,155.0,194.0,432.0,2013
"Schwäbisch Hall, Landkreis",1832.0,5.0,0.0,8.0,7.0,7.0,12.0,13.0,15.0,65.0,49.0,72.0,106.0,192.0,226.0,320.0,735.0,2013
"Main-Tauber-Kreis, Landkreis",1480.0,2.0,2.0,4.0,6.0,5.0,4.0,9.0,15.0,41.0,53.0,64.0,66.0,126.0,179.0,266.0,638.0,2013
"Heidenheim, Landkreis",1460.0,1.0,0.0,6.0,5.0,3.0,4.0,8.0,20.0,31.0,59.0,69.0,64.0,140.0,216.0,254.0,580.0,2013
"Ostalbkreis, Landkreis",3090.0,8.0,4.0,10.0,5.0,8.0,17.0,24.0,44.0,75.0,107.0,151.0,161.0,318.0,415.0,550.0,1193.0,2013
"Baden-Baden, Stadtkreis",781.0,2.0,1.0,1.0,1.0,0.0,0.0,4.0,12.0,20.0,30.0,36.0,53.0,54.0,96.0,125.0,346.0,2013
"Karlsruhe, Stadtkreis",2776.0,11.0,3.0,10.0,6.0,6.0,10.0,21.0,48.0,61.0,77.0,131.0,170.0,318.0,314.0,433.0,1157.0,2013
"Karlsruhe, Landkreis",4233.0,16.0,6.0,9.0,12.0,9.0,16.0,30.0,64.0,111.0,129.0,200.0,220.0,436.0,616.0,742.0,1617.0,2013
"Rastatt, Landkreis",2270.0,5.0,3.0,5.0,1.0,6.0,7.0,21.0,26.0,59.0,75.0,108.0,138.0,213.0,325.0,442.0,836.0,2013
"Heidelberg, Stadtkreis",1169.0,3.0,0.0,2.0,4.0,2.0,6.0,9.0,19.0,27.0,43.0,52.0,71.0,114.0,140.0,176.0,501.0,2013
"Mannheim, Stadtkreis",3051.0,7.0,7.0,9.0,7.0,11.0,14.0,29.0,48.0,97.0,104.0,161.0,234.0,381.0,428.0,460.0,1054.0,2013
"Neckar-Odenwald-Kreis, Landkreis",1602.0,4.0,2.0,6.0,6.0,3.0,3.0,10.0,29.0,36.0,58.0,76.0,100.0,156.0,210.0,302.0,601.0,2013
"Rhein-Neckar-Kreis, Landkreis",5333.0,8.0,5.0,12.0,10.0,12.0,21.0,32.0,72.0,149.0,168.0,265.0,338.0,590.0,770.0,899.0,1982.0,2013
"Pforzheim, Stadtkreis",1308.0,2.0,1.0,6.0,4.0,6.0,3.0,21.0,18.0,41.0,63.0,51.0,72.0,109.0,195.0,210.0,506.0,2013
"Calw, Landkreis",1450.0,2.0,1.0,4.0,5.0,0.0,3.0,9.0,27.0,37.0,63.0,72.0,73.0,159.0,192.0,244.0,559.0,2013
"Enzkreis, Landkreis",1799.0,2.0,1.0,5.0,5.0,5.0,5.0,11.0,32.0,39.0,66.0,78.0,109.0,185.0,249.0,320.0,687.0,2013
"Freudenstadt, Landkreis",1263.0,3.0,0.0,2.0,4.0,5.0,3.0,9.0,23.0,44.0,34.0,52.0,76.0,108.0,205.0,231.0,464.0,2013
"Freiburg im Breisgau, Stadtkreis",1770.0,13.0,3.0,11.0,3.0,10.0,12.0,15.0,24.0,49.0,67.0,86.0,110.0,152.0,210.0,245.0,760.0,2013
"Breisgau-Hochschwarzwald, Landkreis",2257.0,5.0,3.0,6.0,11.0,8.0,5.0,12.0,24.0,59.0,69.0,105.0,117.0,223.0,285.0,409.0,916.0,2013
"Emmendingen, Landkreis",1473.0,6.0,1.0,6.0,3.0,7.0,3.0,18.0,20.0,45.0,46.0,73.0,76.0,148.0,219.0,294.0,508.0,2013
"Ortenaukreis, Landkreis",4265.0,16.0,6.0,11.0,12.0,10.0,14.0,35.0,64.0,102.0,162.0,205.0,232.0,406.0,603.0,711.0,1676.0,2013
"Rottweil, Landkreis",1353.0,4.0,2.0,2.0,3.0,4.0,9.0,11.0,17.0,28.0,49.0,70.0,70.0,128.0,200.0,236.0,520.0,2013
"Schwarzwald-Baar-Kreis, Landkreis",2180.0,4.0,1.0,11.0,4.0,4.0,5.0,12.0,29.0,42.0,61.0,101.0,109.0,201.0,318.0,412.0,866.0,2013
"Tuttlingen, Landkreis",1332.0,2.0,1.0,5.0,1.0,6.0,8.0,8.0,17.0,41.0,48.0,66.0,72.0,114.0,211.0,253.0,479.0,2013
"Konstanz, Landkreis",2788.0,5.0,3.0,17.0,3.0,8.0,11.0,19.0,38.0,52.0,101.0,119.0,160.0,268.0,375.0,497.0,1112.0,2013
"Lörrach, Landkreis",2210.0,11.0,2.0,9.0,4.0,9.0,12.0,20.0,31.0,42.0,79.0,111.0,109.0,232.0,351.0,421.0,767.0,2013
"Waldshut, Landkreis",1676.0,7.0,0.0,5.0,2.0,4.0,5.0,11.0,33.0,51.0,71.0,61.0,94.0,184.0,220.0,268.0,660.0,2013
"Reutlingen, Landkreis",2527.0,11.0,7.0,10.0,4.0,6.0,11.0,17.0,33.0,78.0,91.0,123.0,164.0,244.0,341.0,438.0,949.0,2013
"Tübingen, Landkreis",1579.0,11.0,4.0,6.0,3.0,13.0,9.0,11.0,22.0,47.0,51.0,84.0,88.0,143.0,189.0,276.0,622.0,2013
"Zollernalbkreis, Landkreis",1893.0,5.0,3.0,1.0,1.0,7.0,10.0,15.0,18.0,48.0,67.0,80.0,97.0,184.0,293.0,350.0,714.0,2013
"Ulm, Stadtkreis",1062.0,1.0,2.0,2.0,3.0,2.0,2.0,12.0,13.0,20.0,40.0,44.0,61.0,105.0,120.0,180.0,455.0,2013
"Alb-Donau-Kreis, Landkreis",1703.0,3.0,5.0,5.0,4.0,7.0,5.0,14.0,34.0,43.0,71.0,81.0,86.0,173.0,242.0,302.0,628.0,2013
"Biberach, Landkreis",1736.0,3.0,2.0,11.0,3.0,4.0,7.0,17.0,25.0,37.0,54.0,80.0,102.0,169.0,242.0,302.0,678.0,2013
"Bodenseekreis, Landkreis",1919.0,2.0,3.0,2.0,7.0,5.0,9.0,11.0,26.0,46.0,63.0,88.0,128.0,227.0,235.0,306.0,761.0,2013
"Ravensburg, Landkreis",2540.0,4.0,3.0,13.0,7.0,7.0,13.0,21.0,46.0,66.0,81.0,112.0,124.0,280.0,324.0,423.0,1016.0,2013
"Sigmaringen, Landkreis",1236.0,5.0,1.0,5.0,6.0,5.0,7.0,10.0,20.0,35.0,54.0,48.0,76.0,119.0,155.0,239.0,451.0,2013
Ingolstadt,1208.0,1.0,5.0,4.0,3.0,3.0,4.0,13.0,22.0,30.0,43.0,58.0,85.0,134.0,163.0,209.0,431.0,2013
"München, Landeshauptstadt",10764.0,45.0,15.0,30.0,36.0,46.0,51.0,119.0,184.0,271.0,373.0,602.0,809.0,1183.0,1360.0,1570.0,4070.0,2013
Rosenheim,604.0,1.0,0.0,1.0,4.0,2.0,3.0,7.0,15.0,14.0,23.0,32.0,57.0,59.0,67.0,102.0,217.0,2013
"Altötting, Landkreis",1203.0,3.0,2.0,7.0,3.0,8.0,7.0,8.0,16.0,27.0,36.0,54.0,76.0,120.0,170.0,189.0,477.0,2013
"Berchtesgadener Land, Landkreis",1222.0,3.0,0.0,4.0,5.0,5.0,2.0,6.0,9.0,27.0,37.0,54.0,68.0,133.0,132.0,212.0,525.0,2013
"Bad Tölz-Wolfratshausen, Landkreis",1183.0,0.0,4.0,6.0,5.0,4.0,8.0,7.0,11.0,29.0,34.0,54.0,70.0,120.0,157.0,212.0,462.0,2013
"Dachau, Landkreis",1264.0,2.0,1.0,3.0,5.0,2.0,11.0,11.0,22.0,23.0,44.0,55.0,84.0,137.0,172.0,216.0,476.0,2013
"Ebersberg, Landkreis",1060.0,0.0,2.0,9.0,5.0,4.0,4.0,5.0,16.0,26.0,35.0,48.0,62.0,107.0,129.0,183.0,425.0,2013
"Eichstätt, Landkreis",1090.0,7.0,1.0,3.0,5.0,2.0,2.0,7.0,10.0,27.0,30.0,45.0,50.0,106.0,153.0,221.0,421.0,2013
"Erding, Landkreis",986.0,5.0,1.0,0.0,1.0,5.0,2.0,13.0,9.0,32.0,44.0,48.0,73.0,100.0,136.0,158.0,359.0,2013
"Freising, Landkreis",1260.0,5.0,1.0,4.0,8.0,7.0,5.0,8.0,30.0,39.0,43.0,41.0,71.0,125.0,168.0,210.0,495.0,2013
"Fürstenfeldbruck, Landkreis",1848.0,6.0,1.0,7.0,4.0,4.0,4.0,12.0,25.0,40.0,49.0,85.0,127.0,203.0,277.0,294.0,710.0,2013
"Garmisch-Partenkirchen, Landkreis",1014.0,1.0,0.0,6.0,1.0,1.0,1.0,7.0,21.0,16.0,43.0,37.0,58.0,101.0,133.0,162.0,426.0,2013
"Landsberg am Lech, Landkreis",973.0,4.0,1.0,3.0,3.0,5.0,5.0,9.0,16.0,20.0,36.0,50.0,64.0,90.0,114.0,141.0,412.0,2013
"Miesbach, Landkreis",1037.0,2.0,0.0,4.0,1.0,2.0,3.0,8.0,16.0,25.0,23.0,35.0,76.0,115.0,122.0,169.0,436.0,2013
"Mühldorf a.Inn, Landkreis",1220.0,0.0,2.0,5.0,5.0,4.0,11.0,8.0,25.0,23.0,33.0,52.0,72.0,128.0,158.0,232.0,462.0,2013
"München, Landkreis",2866.0,5.0,2.0,10.0,5.0,8.0,10.0,25.0,46.0,61.0,86.0,111.0,184.0,317.0,363.0,439.0,1194.0,2013
"Neuburg-Schrobenhausen, Landkreis",847.0,3.0,1.0,6.0,4.0,1.0,3.0,3.0,21.0,14.0,28.0,38.0,48.0,83.0,128.0,150.0,316.0,2013
"Pfaffenhofen a.d.Ilm, Landkreis",1017.0,2.0,1.0,6.0,1.0,1.0,2.0,5.0,17.0,33.0,46.0,61.0,59.0,117.0,124.0,186.0,356.0,2013
"Rosenheim, Landkreis",2528.0,7.0,2.0,15.0,4.0,7.0,9.0,15.0,32.0,69.0,102.0,119.0,155.0,235.0,304.0,405.0,1048.0,2013
"Starnberg, Landkreis",1294.0,1.0,1.0,3.0,2.0,2.0,3.0,6.0,14.0,31.0,37.0,46.0,84.0,128.0,163.0,197.0,576.0,2013
"Traunstein, Landkreis",1757.0,2.0,0.0,12.0,3.0,5.0,5.0,10.0,21.0,31.0,60.0,75.0,89.0,172.0,200.0,313.0,759.0,2013
"Weilheim-Schongau, Landkreis",1316.0,3.0,1.0,6.0,1.0,4.0,5.0,9.0,21.0,34.0,50.0,45.0,89.0,140.0,193.0,236.0,479.0,2013
Landshut,818.0,3.0,0.0,2.0,2.0,3.0,2.0,8.0,11.0,15.0,30.0,32.0,53.0,80.0,95.0,120.0,362.0,2013
Passau,586.0,2.0,2.0,3.0,2.0,1.0,4.0,2.0,10.0,18.0,21.0,31.0,37.0,53.0,62.0,84.0,254.0,2013
Straubing,576.0,3.0,0.0,3.0,2.0,5.0,2.0,3.0,4.0,16.0,32.0,31.0,36.0,53.0,75.0,99.0,212.0,2013
"Deggendorf, Landkreis",1297.0,2.0,3.0,10.0,3.0,4.0,5.0,13.0,19.0,32.0,52.0,65.0,70.0,117.0,182.0,229.0,491.0,2013
"Freyung-Grafenau, Landkreis",853.0,1.0,2.0,5.0,3.0,1.0,4.0,9.0,8.0,28.0,28.0,42.0,46.0,87.0,105.0,184.0,300.0,2013
"Kelheim, Landkreis",1071.0,4.0,3.0,3.0,5.0,2.0,8.0,9.0,17.0,32.0,35.0,55.0,59.0,102.0,163.0,180.0,394.0,2013
"Landshut, Landkreis",1263.0,6.0,1.0,6.0,5.0,6.0,4.0,8.0,25.0,32.0,52.0,61.0,57.0,143.0,170.0,239.0,448.0,2013
"Passau, Landkreis",2026.0,6.0,4.0,8.0,8.0,5.0,6.0,15.0,41.0,63.0,67.0,97.0,121.0,194.0,305.0,369.0,717.0,2013
"Regen, Landkreis",904.0,2.0,1.0,2.0,1.0,2.0,5.0,6.0,14.0,18.0,33.0,49.0,59.0,92.0,140.0,172.0,308.0,2013
"Rottal-Inn, Landkreis",1388.0,3.0,1.0,9.0,5.0,7.0,3.0,10.0,12.0,38.0,35.0,70.0,67.0,122.0,188.0,274.0,544.0,2013
"Straubing-Bogen, Landkreis",867.0,2.0,1.0,5.0,0.0,3.0,4.0,6.0,10.0,25.0,32.0,47.0,59.0,88.0,141.0,133.0,311.0,2013
"Dingolfing-Landau, Landkreis",888.0,2.0,0.0,6.0,4.0,5.0,5.0,5.0,18.0,22.0,38.0,35.0,44.0,94.0,141.0,175.0,294.0,2013
Amberg,543.0,0.0,1.0,1.0,0.0,4.0,0.0,1.0,9.0,16.0,21.0,30.0,23.0,51.0,81.0,77.0,228.0,2013
Regensburg,1326.0,3.0,2.0,1.0,4.0,8.0,5.0,19.0,21.0,42.0,57.0,64.0,88.0,133.0,153.0,221.0,505.0,2013
Weiden i.d.OPf.,514.0,1.0,1.0,1.0,2.0,4.0,1.0,6.0,6.0,21.0,25.0,22.0,30.0,62.0,69.0,72.0,191.0,2013
"Amberg-Sulzbach, Landkreis",1127.0,1.0,3.0,6.0,2.0,3.0,5.0,8.0,14.0,28.0,45.0,66.0,55.0,110.0,186.0,209.0,386.0,2013
"Cham, Landkreis",1496.0,1.0,2.0,6.0,2.0,4.0,4.0,13.0,21.0,33.0,51.0,74.0,78.0,159.0,232.0,270.0,546.0,2013
"Neumarkt i.d.OPf., Landkreis",1259.0,3.0,1.0,6.0,1.0,9.0,6.0,11.0,21.0,35.0,54.0,63.0,75.0,130.0,160.0,219.0,465.0,2013
"Neustadt a.d.Waldnaab, Landkreis",1033.0,3.0,2.0,1.0,4.0,6.0,7.0,7.0,14.0,31.0,39.0,48.0,61.0,112.0,146.0,216.0,336.0,2013
"Regensburg, Landkreis",1669.0,4.0,4.0,2.0,4.0,3.0,4.0,16.0,28.0,40.0,54.0,90.0,90.0,177.0,220.0,301.0,632.0,2013
"Schwandorf, Landkreis",1615.0,3.0,2.0,14.0,5.0,3.0,8.0,10.0,26.0,28.0,73.0,89.0,70.0,148.0,254.0,304.0,578.0,2013
"Tirschenreuth, Landkreis",967.0,0.0,1.0,2.0,2.0,7.0,3.0,7.0,17.0,28.0,31.0,50.0,57.0,85.0,136.0,195.0,346.0,2013
Bamberg,841.0,7.0,0.0,4.0,1.0,3.0,4.0,9.0,8.0,16.0,25.0,35.0,49.0,88.0,117.0,138.0,337.0,2013
Bayreuth,762.0,0.0,0.0,1.0,1.0,3.0,2.0,7.0,12.0,29.0,36.0,43.0,49.0,75.0,98.0,116.0,290.0,2013
Coburg,510.0,0.0,1.0,2.0,3.0,0.0,1.0,6.0,6.0,7.0,15.0,17.0,35.0,48.0,75.0,82.0,212.0,2013
Hof,656.0,0.0,0.0,1.0,2.0,2.0,3.0,10.0,19.0,22.0,25.0,36.0,40.0,55.0,83.0,105.0,253.0,2013
"Bamberg, Landkreis",1464.0,3.0,3.0,6.0,3.0,6.0,5.0,16.0,19.0,46.0,58.0,70.0,94.0,142.0,211.0,272.0,510.0,2013
"Bayreuth, Landkreis",1224.0,1.0,0.0,10.0,2.0,1.0,3.0,13.0,23.0,36.0,42.0,71.0,81.0,126.0,153.0,215.0,447.0,2013
"Coburg, Landkreis",1039.0,1.0,1.0,1.0,1.0,4.0,1.0,7.0,13.0,25.0,43.0,43.0,56.0,122.0,150.0,198.0,373.0,2013
"Forchheim, Landkreis",1126.0,3.0,0.0,8.0,4.0,2.0,3.0,10.0,23.0,31.0,49.0,69.0,72.0,117.0,177.0,187.0,371.0,2013
"Hof, Landkreis",1395.0,3.0,1.0,4.0,1.0,1.0,2.0,9.0,18.0,33.0,37.0,48.0,85.0,152.0,215.0,283.0,503.0,2013
"Kronach, Landkreis",882.0,1.0,0.0,2.0,3.0,3.0,3.0,9.0,16.0,29.0,43.0,31.0,37.0,96.0,142.0,176.0,291.0,2013
"Kulmbach, Landkreis",915.0,1.0,2.0,0.0,1.0,3.0,3.0,4.0,8.0,23.0,35.0,48.0,53.0,90.0,117.0,168.0,359.0,2013
"Lichtenfels, Landkreis",823.0,1.0,0.0,1.0,1.0,2.0,4.0,5.0,14.0,20.0,31.0,40.0,56.0,87.0,129.0,156.0,276.0,2013
"Wunsiedel i.Fichtelgebirge, Landkreis",1140.0,0.0,0.0,1.0,0.0,4.0,6.0,9.0,16.0,30.0,34.0,58.0,66.0,144.0,180.0,215.0,377.0,2013
Ansbach,543.0,2.0,1.0,1.0,3.0,2.0,2.0,3.0,10.0,13.0,14.0,16.0,18.0,46.0,77.0,89.0,246.0,2013
Erlangen,976.0,2.0,0.0,5.0,1.0,2.0,3.0,7.0,18.0,25.0,29.0,44.0,63.0,112.0,125.0,149.0,391.0,2013
Fürth,1332.0,3.0,3.0,3.0,5.0,5.0,11.0,19.0,26.0,39.0,55.0,67.0,82.0,143.0,195.0,215.0,461.0,2013
Nürnberg,5425.0,14.0,7.0,14.0,9.0,25.0,34.0,52.0,100.0,168.0,201.0,282.0,339.0,542.0,757.0,940.0,1941.0,2013
Schwabach,443.0,0.0,0.0,2.0,3.0,0.0,1.0,1.0,13.0,16.0,15.0,28.0,29.0,49.0,54.0,73.0,159.0,2013
"Ansbach, Landkreis",1818.0,3.0,3.0,10.0,5.0,4.0,9.0,14.0,28.0,47.0,69.0,94.0,95.0,194.0,234.0,314.0,695.0,2013
"Erlangen-Höchstadt, Landkreis",1201.0,4.0,2.0,1.0,3.0,4.0,1.0,6.0,20.0,33.0,40.0,69.0,68.0,139.0,164.0,225.0,422.0,2013
"Fürth, Landkreis",1224.0,4.0,4.0,6.0,5.0,4.0,5.0,6.0,15.0,26.0,45.0,57.0,65.0,141.0,174.0,229.0,438.0,2013
"Nürnberger Land, Landkreis",1888.0,2.0,3.0,6.0,4.0,3.0,6.0,15.0,25.0,42.0,71.0,100.0,127.0,199.0,266.0,355.0,664.0,2013
"Neustadt a.d.Aisch-Bad Windsheim, Landkreis",1031.0,2.0,1.0,2.0,0.0,4.0,7.0,7.0,16.0,24.0,34.0,51.0,49.0,106.0,159.0,172.0,397.0,2013
"Roth, Landkreis",1257.0,2.0,1.0,2.0,4.0,5.0,3.0,7.0,30.0,29.0,54.0,46.0,95.0,134.0,153.0,235.0,457.0,2013
"Weißenburg-Gunzenhausen, Landkreis",1047.0,3.0,0.0,2.0,3.0,4.0,7.0,5.0,19.0,29.0,32.0,36.0,69.0,120.0,149.0,157.0,412.0,2013
Aschaffenburg,779.0,2.0,2.0,0.0,7.0,2.0,7.0,6.0,6.0,15.0,25.0,50.0,58.0,75.0,124.0,128.0,272.0,2013
Schweinfurt,736.0,1.0,1.0,2.0,2.0,1.0,0.0,3.0,5.0,19.0,22.0,50.0,44.0,68.0,106.0,116.0,296.0,2013
Würzburg,1338.0,3.0,1.0,1.0,2.0,5.0,5.0,8.0,22.0,26.0,36.0,65.0,82.0,125.0,161.0,203.0,593.0,2013
"Aschaffenburg, Landkreis",1763.0,2.0,0.0,6.0,5.0,3.0,6.0,12.0,28.0,35.0,55.0,94.0,118.0,191.0,254.0,314.0,640.0,2013
"Bad Kissingen, Landkreis",1274.0,1.0,4.0,7.0,1.0,3.0,2.0,5.0,27.0,25.0,36.0,59.0,68.0,117.0,176.0,223.0,520.0,2013
"Rhön-Grabfeld, Landkreis",957.0,2.0,0.0,3.0,3.0,2.0,4.0,6.0,15.0,20.0,21.0,33.0,48.0,100.0,136.0,176.0,388.0,2013
"Haßberge, Landkreis",904.0,2.0,0.0,1.0,0.0,1.0,3.0,6.0,14.0,22.0,26.0,51.0,54.0,100.0,140.0,161.0,323.0,2013
"Kitzingen, Landkreis",945.0,0.0,1.0,5.0,2.0,0.0,3.0,9.0,11.0,19.0,40.0,34.0,51.0,101.0,123.0,172.0,374.0,2013
"Miltenberg, Landkreis",1327.0,3.0,1.0,8.0,2.0,4.0,4.0,10.0,18.0,20.0,42.0,58.0,79.0,146.0,219.0,222.0,491.0,2013
"Main-Spessart, Landkreis",1401.0,0.0,1.0,4.0,5.0,2.0,4.0,6.0,18.0,31.0,57.0,67.0,69.0,141.0,194.0,261.0,541.0,2013
"Schweinfurt, Landkreis",1153.0,1.0,0.0,3.0,1.0,6.0,1.0,6.0,24.0,26.0,44.0,41.0,61.0,112.0,178.0,230.0,419.0,2013
"Würzburg, Landkreis",1477.0,4.0,0.0,6.0,1.0,4.0,3.0,5.0,17.0,38.0,50.0,72.0,97.0,150.0,215.0,274.0,541.0,2013
Augsburg,2930.0,11.0,2.0,7.0,12.0,15.0,25.0,28.0,39.0,92.0,80.0,151.0,177.0,312.0,377.0,453.0,1149.0,2013
Kaufbeuren,516.0,0.0,0.0,0.0,0.0,4.0,1.0,4.0,6.0,15.0,17.0,29.0,34.0,44.0,51.0,82.0,229.0,2013
Kempten (Allgäu),758.0,3.0,1.0,2.0,3.0,6.0,2.0,8.0,11.0,11.0,36.0,30.0,50.0,79.0,99.0,124.0,293.0,2013
Memmingen,473.0,1.0,0.0,0.0,2.0,0.0,4.0,2.0,6.0,16.0,19.0,23.0,33.0,58.0,60.0,67.0,182.0,2013
"Aichach-Friedberg, Landkreis",1164.0,6.0,1.0,2.0,1.0,4.0,5.0,7.0,19.0,29.0,35.0,63.0,66.0,120.0,179.0,203.0,424.0,2013
"Augsburg, Landkreis",2294.0,11.0,4.0,8.0,6.0,8.0,3.0,22.0,34.0,68.0,74.0,118.0,142.0,241.0,299.0,416.0,840.0,2013
"Dillingen a.d.Donau, Landkreis",946.0,4.0,1.0,4.0,3.0,4.0,2.0,8.0,11.0,30.0,46.0,50.0,40.0,94.0,115.0,161.0,373.0,2013
"Günzburg, Landkreis",1206.0,2.0,2.0,4.0,3.0,7.0,4.0,11.0,23.0,37.0,44.0,60.0,70.0,150.0,159.0,229.0,401.0,2013
"Neu-Ulm, Landkreis",1556.0,5.0,1.0,3.0,9.0,4.0,4.0,9.0,28.0,40.0,58.0,83.0,92.0,174.0,201.0,261.0,584.0,2013
"Lindau (Bodensee), Landkreis",850.0,1.0,3.0,6.0,2.0,1.0,2.0,6.0,15.0,26.0,29.0,46.0,47.0,85.0,94.0,123.0,364.0,2013
"Ostallgäu, Landkreis",1424.0,4.0,1.0,3.0,3.0,0.0,5.0,7.0,23.0,28.0,38.0,66.0,78.0,139.0,176.0,266.0,587.0,2013
"Unterallgäu, Landkreis",1316.0,4.0,1.0,7.0,10.0,3.0,8.0,5.0,21.0,23.0,37.0,64.0,74.0,138.0,175.0,239.0,507.0,2013
"Donau-Ries, Landkreis",1298.0,1.0,0.0,7.0,2.0,7.0,5.0,6.0,26.0,33.0,49.0,44.0,82.0,147.0,194.0,237.0,458.0,2013
"Oberallgäu, Landkreis",1509.0,2.0,2.0,2.0,1.0,3.0,11.0,9.0,22.0,29.0,34.0,69.0,121.0,177.0,207.0,236.0,584.0,2013
"Saarbrücken, Regionalverband",4228.0,14.0,3.0,11.0,10.0,10.0,9.0,26.0,67.0,135.0,194.0,273.0,291.0,447.0,622.0,731.0,1385.0,2013
"Saarbrücken, Landeshauptstadt",2159.0,8.0,3.0,6.0,8.0,7.0,5.0,13.0,37.0,79.0,111.0,142.0,158.0,214.0,309.0,344.0,715.0,2013
"Merzig-Wadern, Landkreis",1284.0,1.0,1.0,5.0,3.0,5.0,7.0,12.0,23.0,33.0,55.0,63.0,79.0,133.0,187.0,237.0,440.0,2013
"Neunkirchen, Landkreis",1782.0,2.0,1.0,4.0,5.0,3.0,3.0,19.0,24.0,52.0,90.0,112.0,114.0,206.0,269.0,302.0,576.0,2013
